Country Name,Country Code,Region,renergy,co2,gdppc
United States,USA,Europe & Central Asia,8.716935867,15.53534211,56863.3715
China,CHN,East Asia & Pacific,12.41335257,7.169112177000001,8066.942634999999
Japan,JPN,Europe & Central Asia,6.297357081,9.292832367,34524.469860000005
Germany,DEU,Europe & Central Asia,14.2062527,9.087290938999999,41086.72967
United Kingdom,GBR,Europe & Central Asia,8.711685574,6.148544958,45039.23595
France,FRA,Europe & Central Asia,13.49926232,4.666086597,36638.18493
India,IND,South Asia,36.02122257,1.641198393,1605.605445
Italy,ITA,Latin America & Caribbean,16.51685058,5.56325971,30230.2263
Brazil,BRA,Latin America & Caribbean,43.79038920000001,2.347365731,8814.001418
Canada,CAN,North America,22.02535921,15.65138616,43596.135539999996
"Korea, Rep.",KOR,Middle East & North Africa,2.7077028039999997,11.88886857,28732.23108
Russian Federation,RUS,Sub-Saharan Africa,3.3042283510000003,10.80890931,9313.013625
Australia,AUS,East Asia & Pacific,9.18050296,15.7864494,56755.721710000005
Spain,ESP,Europe & Central Asia,16.25409774,5.517944386,25732.01836
Mexico,MEX,East Asia & Pacific,9.215213455,3.87819451,9616.645558
Turkey,TUR,East Asia & Pacific,13.37423004,4.47717596,11006.27952
Indonesia,IDN,East Asia & Pacific,36.8793481,1.8996586919999998,3331.695115
Netherlands,NLD,Europe & Central Asia,5.8894630789999995,9.333572532,45175.231889999995
Switzerland,CHE,Europe & Central Asia,25.29198368,4.712404478,84776.14217
Saudi Arabia,SAU,Sub-Saharan Africa,0.005976542,17.69171234,20627.92693
Argentina,ARG,Latin America & Caribbean,10.04007761,4.314433522,13789.060419999998
Sweden,SWE,Sub-Saharan Africa,53.2477698,4.000332272,51545.48361
Nigeria,NGA,Latin America & Caribbean,86.63562156,0.597060396,2687.480056
Belgium,BEL,Europe & Central Asia,9.201640531,8.444061111,40991.80814
Thailand,THA,Europe & Central Asia,22.86307013,3.82859407,5840.053067
Norway,NOR,South Asia,57.7720016,7.447085509,74355.51586
"Iran, Islamic Rep.",IRN,Middle East & North Africa,0.913005057,7.672481325,4904.3273149999995
Austria,AUT,Europe & Central Asia,34.39499175,7.306745266,44178.04738
United Arab Emirates,ARE,Middle East & North Africa,0.13710804599999998,20.94809226,38663.4005
"Egypt, Arab Rep.",EGY,Middle East & North Africa,5.709377265,2.444220788,3562.9326579999997
South Africa,ZAF,Sub-Saharan Africa,17.15014125,7.671201555,5734.633422
Singapore,SGP,East Asia & Pacific,0.708635297,8.220412567,55646.61875
Philippines,PHL,East Asia & Pacific,27.45154445,1.1131762920000001,3001.043182
Denmark,DNK,Europe & Central Asia,33.17027717,5.911867775,53254.85637
Israel,ISR,Europe & Central Asia,3.707766913,7.8925072489999994,35813.713410000004
Colombia,COL,Latin America & Caribbean,23.56475752,1.705152834,6175.876029999999
Ireland,IRL,Middle East & North Africa,9.081399013,7.866937107,62000.11881
Pakistan,PAK,Latin America & Caribbean,46.47632492,0.8203003529999999,1356.667831
Chile,CHL,Latin America & Caribbean,24.88255427,4.561654853,13574.169240000001
Finland,FIN,Europe & Central Asia,43.23526259,7.814537412000001,42784.69836
Portugal,PRT,Latin America & Caribbean,27.15729839,4.812669843,19242.366469999997
Greece,GRC,Europe & Central Asia,17.17004755,6.285069342000001,18050.09761
Bangladesh,BGD,South Asia,34.74706901,0.458797539,1248.4533099999999
Vietnam,VNM,East Asia & Pacific,34.99856984,2.257300246,2085.101349
Peru,PER,East Asia & Pacific,25.50390552,1.766284697,6229.100674
Czech Republic,CZE,Europe & Central Asia,14.82856195,9.575140818,17829.69832
Kazakhstan,KAZ,Sub-Saharan Africa,1.5584429119999998,11.77918743,10510.77189
Romania,ROU,Europe & Central Asia,23.69779403,3.678916669,8969.148921
Iraq,IRQ,Europe & Central Asia,0.798830769,4.5594505089999995,4688.3180170000005
Algeria,DZA,Middle East & North Africa,0.058958684000000004,3.6742329469999997,4177.886892
Qatar,QAT,Europe & Central Asia,0.0,32.47056953,63039.112629999996
Hungary,HUN,Europe & Central Asia,15.55936205,4.407180392,12706.89121
Angola,AGO,Sub-Saharan Africa,49.56821033,1.2609209890000002,4166.979832999999
Morocco,MAR,Europe & Central Asia,11.31745963,1.821795354,2875.257985
Ecuador,ECU,Latin America & Caribbean,13.81668594,2.511716305,6124.490887
Slovak Republic,SVK,Europe & Central Asia,13.40916822,5.669455792999999,16310.98841
Cuba,CUB,Latin America & Caribbean,19.28132064,2.427420867,7694.014637
Uzbekistan,UZB,Latin America & Caribbean,2.9701787,3.24388397,2615.025134
Dominican Republic,DOM,Latin America & Caribbean,16.48010921,2.280756783,6921.520594
Ethiopia,ETH,Sub-Saharan Africa,92.16346114,0.12773285199999998,640.5419231000001
Sudan,SDN,Sub-Saharan Africa,61.59674748,0.45754887299999997,1656.905841
Kenya,KEN,Europe & Central Asia,72.66275251,0.356946384,1336.883265
Guatemala,GTM,Latin America & Caribbean,63.65099179,1.049628073,3994.6369130000003
Belarus,BLR,Europe & Central Asia,6.770869532000001,5.784217191000001,5949.106307
Costa Rica,CRI,Latin America & Caribbean,38.73341388,1.555343088,11642.77805
Panama,PAN,Latin America & Caribbean,21.23415234,2.6962396280000003,13630.322869999998
Uruguay,URY,North America,58.02204118,1.931411164,15613.745969999998
Azerbaijan,AZE,Europe & Central Asia,2.310757686,3.333906429,5500.310382
Bulgaria,BGR,Europe & Central Asia,17.65007793,6.225976042999999,7055.935673000001
Lebanon,LBN,Sub-Saharan Africa,3.64671967,4.140719561,7644.545147
Croatia,HRV,Europe & Central Asia,33.12746664,3.9680236289999997,11781.73479
Ghana,GHA,Sub-Saharan Africa,41.41279431,0.543283052,1705.575082
Tanzania,TZA,Sub-Saharan Africa,85.71304194,0.22706684100000002,947.9333517000001
Cote d'Ivoire,CIV,Sub-Saharan Africa,64.52802565,0.41160505799999997,1972.5456829999998
Tunisia,TUN,Europe & Central Asia,12.56235035,2.653857785,3861.6924
Slovenia,SVN,Europe & Central Asia,20.87739614,6.3822641870000005,20881.76693
"Yemen, Rep.",YEM,Sub-Saharan Africa,2.2764166869999998,0.5362692960000001,1601.830063
Lithuania,LTU,Europe & Central Asia,28.96117925,3.810789319,14258.229330000002
Jordan,JOR,East Asia & Pacific,3.229170042,2.73671831,4164.1087689999995
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,95.81769971,0.037904358,497.3170391
Paraguay,PRY,Middle East & North Africa,61.67699459,0.9523459259999999,5413.776021
Bolivia,BOL,Latin America & Caribbean,17.53818183,1.877691189,3035.9716550000003
Uganda,UGA,Europe & Central Asia,89.05794898,0.127140436,843.6295453
Bahrain,BHR,Middle East & North Africa,0.0,22.30559688,22634.08565
Cameroon,CMR,Sub-Saharan Africa,76.53840041,0.34380078700000005,1327.502561
Libya,LBY,Latin America & Caribbean,1.966554457,8.388494488,4337.919139
Latvia,LVA,East Asia & Pacific,38.09801717,3.7015929489999997,13774.605269999998
Trinidad and Tobago,TTO,Middle East & North Africa,0.28420576399999997,15.51448846,18214.460619999998
Nepal,NPL,East Asia & Pacific,85.26395819,0.239126119,901.7496077
El Salvador,SLV,Europe & Central Asia,24.40076999,1.106698196,3705.5797039999998
Estonia,EST,Europe & Central Asia,27.47683347,11.68459648,17522.230190000002
Papua New Guinea,PNG,Europe & Central Asia,52.49865195,0.793066209,2679.346579
Zambia,ZMB,Sub-Saharan Africa,87.98545236,0.319282188,1338.290927
Honduras,HND,Latin America & Caribbean,51.53741358,1.083079554,2302.204411
Afghanistan,AFG,South Asia,18.42347717,0.23217563100000002,578.4663529000001
Cyprus,CYP,Europe & Central Asia,9.942066016,5.839858672,23408.33668
Cambodia,KHM,East Asia & Pacific,64.92377591,0.55278394,1162.9049949999999
Senegal,SEN,East Asia & Pacific,42.71175163,0.636556012,1219.249415
Iceland,ISL,Middle East & North Africa,77.02968921,6.227045327000001,52951.68151
Bosnia and Herzegovina,BIH,Europe & Central Asia,40.75006023,5.718264797000001,4727.276333
Mozambique,MOZ,Sub-Saharan Africa,86.40050892,0.208564448,589.85905
Georgia,GEO,Europe & Central Asia,28.66253881,2.469615674,4014.185944
Haiti,HTI,Latin America & Caribbean,76.07221323,0.31040976,1389.1197789999999
Botswana,BWA,Sub-Saharan Africa,28.87982699,3.399795164,6799.870178
Lao PDR,LAO,Middle East & North Africa,59.31586075,1.284645373,2134.7130620000003
Gabon,GAB,Sub-Saharan Africa,82.00784369,2.8135894319999997,7384.700704000001
Jamaica,JAM,Middle East & North Africa,16.77190746,2.521597884,4907.927415
Equatorial Guinea,GNQ,Sub-Saharan Africa,7.822799777,6.110005776,11283.39805
Mali,MLI,Middle East & North Africa,61.52698472,0.195541292,751.4728866
Brunei Darussalam,BRN,East Asia & Pacific,0.014935036,14.41262527,31164.03625
Nicaragua,NIC,Europe & Central Asia,48.20490919,0.8468265859999999,2049.851666
"Congo, Rep.",COG,Sub-Saharan Africa,62.40211902,0.70838841,2447.539308
Burkina Faso,BFA,Sub-Saharan Africa,74.16718786,0.187735194,653.3272681
Mongolia,MNG,East Asia & Pacific,3.42973729,5.769680362999999,3918.587015
"Bahamas, The",BHS,Latin America & Caribbean,1.2105128840000001,6.333511491,31295.563869999998
Mauritius,MUS,Sub-Saharan Africa,11.53736196,3.136372817,9260.447303
