company,platform,year,sold_year,sold_total,sold_year_pct_change
Microsoft,X360,2005,1178267,1178267,
Microsoft,X360,2006,6801532,7979799,577.2487899601704
Microsoft,X360,2007,7879552,15859351,98.74374028719271
Microsoft,X360,2008,10913123,26772474,68.81191418236472
Microsoft,X360,2009,10160518,36932992,37.951360042407735
Microsoft,X360,2010,13253914,49961079,35.27492979718514
Microsoft,X360,2011,13808365,63769444,27.63824416202061
Microsoft,X360,2012,10677206,74287471,16.49383519793586
Microsoft,X360,2013,6239751,81833382,10.157716904913894
Microsoft,X360,2014,2600902,84434284,3.178289759550701
Microsoft,X360,2015,928456,85362740,1.099619675817931
Microsoft,X360,2016,391737,85754477,0.45890865265103553
Microsoft,X360,2017,59184,85813661,0.06901563868204619
Microsoft,XOne,2013,3075770,3075770,
Microsoft,XOne,2014,7908581,10984351,257.1252401837589
Microsoft,XOne,2015,8631257,19640765,78.80678612691821
Microsoft,XOne,2016,8368621,27924386,42.17565354506303
Microsoft,XOne,2017,7644053,34306680,22.855628768346058
Microsoft,XOne,2018,6881443,41188123,20.058609576910392
Nintendo,3DS,2011,13250062,13250062,
Nintendo,3DS,2012,14112182,27362244,106.50653559205989
Nintendo,3DS,2013,14369898,40416789,47.710067200628714
Nintendo,3DS,2014,9738396,50096909,23.95073987693579
Nintendo,3DS,2015,7326085,56297730,12.377651882674034
Nintendo,3DS,2016,7589045,64011975,13.702586232162473
Nintendo,3DS,2017,6635304,70362989,9.921602950073005
Nintendo,3DS,2018,3536153,73899142,5.025586675972504
Nintendo,NS,2017,13116268,13116268,
Nintendo,NS,2018,16339594,29455862,124.5750239321124
Nintendo,Wii,2006,2954781,2954781,
Nintendo,Wii,2007,16553289,19508070,560.2205036515396
Nintendo,Wii,2008,24188263,43696333,123.99106113521223
Nintendo,Wii,2009,21295417,64991750,48.73502085403825
Nintendo,Wii,2010,17320956,82096418,26.31821423488365
Nintendo,Wii,2011,11522685,93428231,13.80305411132554
Nintendo,Wii,2012,5082024,98473186,5.399818605149442
Nintendo,Wii,2013,1947850,100421036,1.9780511620696384
Nintendo,Wii,2014,515969,100937005,0.5138056930621637
Nintendo,Wii,2015,74946,101011951,0.07425027124590144
Nintendo,WiiU,2012,2247216,2247216,
Nintendo,WiiU,2013,3113285,5298791,135.79357747541846
Nintendo,WiiU,2014,3644476,8912202,68.19312178947989
Nintendo,WiiU,2015,3459547,12285710,37.85268780936519
Nintendo,WiiU,2016,1160478,13434888,9.353777681550346
Nintendo,WiiU,2017,125560,13560448,0.93458166528817
Sony,PS3,2006,1252040,1252040,
Sony,PS3,2007,7922055,9174095,632.7317817322131
Sony,PS3,2008,10204758,19378853,111.23449233957139
Sony,PS3,2009,12997974,32376827,67.07297898384388
Sony,PS3,2010,13896438,46388642,43.27729520869972
Sony,PS3,2011,14706691,61095333,31.70321519651298
Sony,PS3,2012,12150117,72527213,18.711543809737474
Sony,PS3,2013,8252038,81072009,11.781503309661169
Sony,PS3,2014,3557573,84928078,4.756350616647476
Sony,PS3,2015,1342092,86270170,1.580268895288084
Sony,PS3,2016,517916,86788086,0.600341925836001
Sony,PS3,2017,198355,87403441,0.709031652109493
Sony,PS4,2013,4430139,4430139,
Sony,PS4,2014,14560282,19045310,329.90321522642967
Sony,PS4,2015,17510227,36667145,92.52585019619004
Sony,PS4,2016,17590843,53490988,45.88260962231993
Sony,PS4,2017,19808528,73528627,37.459840898807094
Sony,PS4,2018,18277267,91805894,24.857348417508195
Sony,PSP,2005,9613346,10082234,
Sony,PSP,2006,9488584,19570818,94.11192003676962
Sony,PSP,2007,12814297,32385115,65.47655289625605
Sony,PSP,2008,14048403,46433518,43.37919751095527
Sony,PSP,2009,9855987,56289505,21.22601823966903
Sony,PSP,2010,9243328,65532833,16.42105042494155
Sony,PSP,2011,7459539,73171078,11.655600178310621
Sony,PSP,2012,4220108,77314350,5.662444934868938
Sony,PSP,2013,2973884,80288234,3.846483867483852
Sony,PSP,2014,391786,80680020,0.4879743649611301
Sony,PSV,2011,481573,481573,
Sony,PSV,2012,3674466,4156039,763.01329185814
Sony,PSV,2013,3204823,7363015,77.16424220273197
Sony,PSV,2014,2847634,10417066,41.47826671546915
Sony,PSV,2015,2681299,13098365,25.73948365115475
Sony,PSV,2016,2041540,15139905,15.586220112204852
Sony,PSV,2017,783214,15641909,3.3157671729115767
Sony,PSV,2018,225353,15867262,1.4407001089189242
