company,rank,revenues,revenue_change,profits,assets,profit_change,sector,country,years_on_global_500_list,employees,total_stockholder_equity
Walmart,1,485873,0.8,13643,198825,-7.2,Retailing,USA,23,2300000,77798
State Grid,2,315199,-4.4,9571.3,489838,-6.2,Energy,China,17,926067,209456
Sinopec Group,3,267518,-9.1,1257.9,310726,-65,Energy,China,19,713288,106523
China National Petroleum,4,262573,-12.3,1867.5,585619,-73.7,Energy,China,17,1512048,301893
Toyota Motor,5,254694,7.7,16899.3,437575,-12.3,Motor Vehicles & Parts,Japan,23,364445,157210
Volkswagen,6,240264,1.5,5937.3,432116,,Motor Vehicles & Parts,Germany,23,626715,97753
Royal Dutch Shell,7,240033,-11.8,4575,411275,135.9,Energy,Netherlands,23,89000,186646
Berkshire Hathaway,8,223604,6.1,24074,620854,,Financials,USA,21,367700,283001
Apple,9,215639,-7.7,45687,321686,-14.4,Technology,USA,15,116000,128249
Exxon Mobil,10,205004,-16.7,7840,330314,-51.5,Energy,USA,23,72700,167325
McKesson,11,198533,3.1,5070,60969,124.5,Wholesalers,USA,23,64500,11095
BP,12,186606,-17.4,115,263316,,Energy,Britain,23,74500,95286
UnitedHealth Group,13,184840,17.7,7017,122810,20.7,Health Care,USA,21,230000,38274
CVS Health,14,177526,15.8,5317,94462,1.5,Health Care,USA,22,204000,36830
Samsung Electronics,15,173957,-2,19316.5,217104,16.8,Technology,South Korea,23,325000,154376
Glencore,16,173883,2,1379,124600,,Energy,Switzerland,7,93123,44243
Daimler,17,169483,2.2,9428.4,256262,0.9,Motor Vehicles & Parts,Germany,23,282488,61116
General Motors,18,166380,9.2,9427,221690,-2.7,Motor Vehicles & Parts,USA,23,225000,43836
AT&T,19,163786,11.6,12976,403821,-2.8,Telecommunications,USA,23,268540,123135
EXOR Group,20,154894,1.5,651.3,186172,-21.1,Financials,Netherlands,7,302562,11582
Ford Motor,21,151800,1.5,4596,237951,-37.7,Motor Vehicles & Parts,USA,23,201000,29170
Industrial & Commercial Bank of China,22,147675,-11.7,41883.9,3473238,-5,Financials,China,19,461749,283438
AmerisourceBergen,23,146850,8,1427.9,33656,,Wholesalers,USA,18,18500,2129
China State Construction Engineering,24,144505,3.1,2492.9,201269,10.7,Engineering & Construction,China,6,263915,15344
AXA,25,143722,11.2,6446,941556,3.5,Financials,France,23,97707,74454
Amazon.com,26,135987,27.1,2371,83402,297.8,Technology,USA,9,341400,19285
Hon Hai Precision Industry,27,135129,-4.3,4608.8,80436,-0.4,Technology,Taiwan,13,726772,33476
China Construction Bank,28,135093,-8.7,34840.9,3016578,-4,Financials,China,18,362482,226851
Honda Motor,29,129198,6.2,5690.3,170165,98.3,Motor Vehicles & Parts,Japan,23,211915,65482
Total,30,127925,-10.8,6196,230978,21.8,Energy,France,23,102168,98680
General Electric,31,126661,-9.8,8831,365183,,Industrials,USA,23,295000,75828
Verizon,32,125980,-4.3,13127,244180,-26.6,Telecommunications,USA,23,160900,22524
Japan Post Holdings,33,122990,3.6,-267.4,2631385,-107.5,Financials,Japan,21,248384,91532
Allianz,34,122196,-0.6,7611.5,932091,3.7,Financials,Germany,23,140253,71020
Cardinal Health,35,121546,18.5,1427,34122,17.4,Wholesalers,USA,20,37300,6554
Costco,36,118719,2.2,2350,33163,-1.1,Retailing,USA,23,172000,12079
Walgreens Boots Alliance,37,117351,13.4,4173,72688,-1.1,Food & Drug Stores,USA,23,300000,29880
Agricultural Bank of China,38,117275,-12.1,27687.8,2816039,-3.6,Financials,China,18,501368,189682
Ping An Insurance,39,116581,5.7,9392,802490,8.9,Financials,China,8,318588,55177
Kroger,40,115337,5,1975,36505,-3.1,Food & Drug Stores,USA,23,443000,6698
SAIC Motor,41,113861,6.7,4818.2,84989,1.6,Motor Vehicles & Parts,China,6,97582,27617
Bank of China,42,113708,-7.1,24773.4,2611539,-8.9,Financials,China,23,308900,203134
BNP Paribas,43,109026,-2.2,8517.2,2190423,14.7,Financials,France,23,184839,106164
Nissan Motor,44,108164,6.5,6123.4,165344,40.3,Motor Vehicles & Parts,Japan,23,137250,50550
Chevron,45,107567,-18,-497,260078,-110.8,Energy,USA,23,55200,145556
Fannie Mae,46,107162,-2.9,12313,3287968,12.4,Financials,USA,20,7000,6071
China Mobile Communications,47,107117,0.3,9614.3,246446,-5.2,Telecommunications,China,17,463712,130459
J.P. Morgan Chase,48,105486,4.4,24733,2490972,1.2,Financials,USA,23,243355,254190
Legal & General Group,49,105235,442.3,1697.9,577954,3.4,Financials,Britain,17,8939,8579
Nippon Telegraph & Telephone,50,105128,9.4,7384.4,190740,20.2,Telecommunications,Japan,23,274844,81254
China Life Insurance,51,104818,3.5,162.4,483026,-96.1,Financials,China,15,143676,14079
BMW Group,52,104130,1.8,7589.4,198835,7.4,Motor Vehicles & Parts,Germany,23,124729,49682
Express Scripts Holding,53,100288,-1.4,3404.4,51745,37.5,Health Care,USA,15,25600,16236
Trafigura Group,54,98098,0.9,750.8,41230,-39.3,Wholesalers,Singapore,3,4107,5548
China Railway Engineering,55,96979,-2.5,924.1,108864,-6,Engineering & Construction,China,3,292215,10806
Prudential,56,96965,53.7,2592.8,581221,-34.2,Financials,Britain,22,23673,18117
Assicurazioni Generali,57,95217,-7.2,2301.3,549656,2.2,Financials,Italy,23,73727,25886
China Railway Construction,58,94877,-0.8,1192.4,109968,7.8,Engineering & Construction,China,6,336872,10146
Home Depot,59,94595,6.9,7957,42966,13.5,Retailing,USA,23,406000,4333
Boeing,60,94571,-1.6,4895,89997,-5.4,Aerospace & Defense,USA,23,150540,817
Wells Fargo,61,94176,4.6,21938,1930115,-4.2,Financials,USA,20,269100,199581
Bank of America Corp.,62,93662,0.7,17906,2187702,12.7,Financials,USA,23,208024,266840
Gazprom,63,91382,-8.1,14222.6,277262,10.4,Energy,Russia,21,467400,181813
Nestle,64,90814,-1.6,8659.2,129824,-8.1,"Food, Beverages & Tobacco",Switzerland,23,328000,63573
Alphabet,65,90272,20.4,19478,167497,19.1,Technology,USA,9,72053,139036
Siemens,66,88419,0.9,6050.5,141271,-27.4,Industrials,Germany,23,351000,38444
Carrefour,67,87112,-0.4,825,51513,-24.1,Food & Drug Stores,France,23,384151,10996
Dongfeng Motor,68,86194,4.1,1415,59532,-4.4,Motor Vehicles & Parts,China,8,189795,11464
