 country 	 continent 	 subject 	1952	1957	1962	1967	1972	1977	1982	1987	1992	1997	2002	2007
 Afghanistan 	 Asia 	" Gross domestic product per capita, constant prices "	779.45	820.85	853.1	836.2	739.98	786.11	978.01	852.4	649.34	635.34	726.73	974.58
 Afghanistan 	 Asia 	 Life expectancy 	28.8	30.33	32	34.02	36.09	38.44	39.85	40.82	41.67	41.76	42.13	43.83
 Afghanistan 	 Asia 	 Population 	"8,425,333.00"	"9,240,934.00"	"10,267,083.00"	"11,537,966.00"	"13,079,460.00"	"14,880,372.00"	"12,881,816.00"	"13,867,957.00"	"16,317,921.00"	"22,227,415.00"	"25,268,405.00"	"31,889,923.00"
 Albania 	 Europe 	" Gross domestic product per capita, constant prices "	"1,601.06"	"1,942.28"	"2,312.89"	"2,760.20"	"3,313.42"	"3,533.00"	"3,630.88"	"3,738.93"	"2,497.44"	"3,193.05"	"4,604.21"	"5,937.03"
 Albania 	 Europe 	 Life expectancy 	55.23	59.28	64.82	66.22	67.69	68.93	70.42	72	71.58	72.95	75.65	76.42
 Albania 	 Europe 	 Population 	"1,282,697.00"	"1,476,505.00"	"1,728,137.00"	"1,984,060.00"	"2,263,554.00"	"2,509,048.00"	"2,780,097.00"	"3,075,321.00"	"3,326,498.00"	"3,428,038.00"	"3,508,512.00"	"3,600,523.00"
 Algeria 	 Africa 	" Gross domestic product per capita, constant prices "	"2,449.01"	"3,013.98"	"2,550.82"	"3,246.99"	"4,182.66"	"4,910.42"	"5,745.16"	"5,681.36"	"5,023.22"	"4,797.30"	"5,288.04"	"6,223.37"
 Algeria 	 Africa 	 Life expectancy 	43.08	45.69	48.3	51.41	54.52	58.01	61.37	65.8	67.74	69.15	70.99	72.3
 Algeria 	 Africa 	 Population 	"9,279,525.00"	"10,270,856.00"	"11,000,948.00"	"12,760,499.00"	"14,760,787.00"	"17,152,804.00"	"20,033,753.00"	"23,254,956.00"	"26,298,373.00"	"29,072,015.00"	"31,287,142.00"	"33,333,216.00"
 Angola 	 Africa 	" Gross domestic product per capita, constant prices "	"3,520.61"	"3,827.94"	"4,269.28"	"5,522.78"	"5,473.29"	"3,008.65"	"2,756.95"	"2,430.21"	"2,627.85"	"2,277.14"	"2,773.29"	"4,797.23"
 Angola 	 Africa 	 Life expectancy 	30.02	32	34	35.99	37.93	39.48	39.94	39.91	40.65	40.96	41	42.73
 Angola 	 Africa 	 Population 	"4,232,095.00"	"4,561,361.00"	"4,826,015.00"	"5,247,469.00"	"5,894,858.00"	"6,162,675.00"	"7,016,384.00"	"7,874,230.00"	"8,735,988.00"	"9,875,024.00"	"10,866,106.00"	"12,420,476.00"
 Argentina 	 Americas 	" Gross domestic product per capita, constant prices "	"5,911.32"	"6,856.86"	"7,133.17"	"8,052.95"	"9,443.04"	"10,079.03"	"8,997.90"	"9,139.67"	"9,308.42"	"10,967.28"	"8,797.64"	"12,779.38"
 Argentina 	 Americas 	 Life expectancy 	62.49	64.4	65.14	65.63	67.07	68.48	69.94	70.77	71.87	73.28	74.34	75.32
 Argentina 	 Americas 	 Population 	"17,876,956.00"	"19,610,538.00"	"21,283,783.00"	"22,934,225.00"	"24,779,799.00"	"26,983,828.00"	"29,341,374.00"	"31,620,918.00"	"33,958,947.00"	"36,203,463.00"	"38,331,121.00"	"40,301,927.00"
 Australia 	 Oceania 	" Gross domestic product per capita, constant prices "	"10,039.60"	"10,949.65"	"12,217.23"	"14,526.12"	"16,788.63"	"18,334.20"	"19,477.01"	"21,888.89"	"23,424.77"	"26,997.94"	"30,687.75"	"34,435.37"
 Australia 	 Oceania 	 Life expectancy 	69.12	70.33	70.93	71.1	71.93	73.49	74.74	76.32	77.56	78.83	80.37	81.24
 Australia 	 Oceania 	 Population 	"8,691,212.00"	"9,712,569.00"	"10,794,968.00"	"11,872,264.00"	"13,177,000.00"	"14,074,100.00"	"15,184,200.00"	"16,257,249.00"	"17,481,977.00"	"18,565,243.00"	"19,546,792.00"	"20,434,176.00"
 Austria 	 Europe 	" Gross domestic product per capita, constant prices "	"6,137.08"	"8,842.60"	"10,750.72"	"12,834.60"	"16,661.63"	"19,749.42"	"21,597.08"	"23,687.83"	"27,042.02"	"29,095.92"	"32,417.61"	"36,126.49"
 Austria 	 Europe 	 Life expectancy 	66.8	67.48	69.54	70.14	70.63	72.17	73.18	74.94	76.04	77.51	78.98	79.83
 Austria 	 Europe 	 Population 	"6,927,772.00"	"6,965,860.00"	"7,129,864.00"	"7,376,998.00"	"7,544,201.00"	"7,568,430.00"	"7,574,613.00"	"7,578,903.00"	"7,914,969.00"	"8,069,876.00"	"8,148,312.00"	"8,199,783.00"
 Bahrain 	 Asia 	" Gross domestic product per capita, constant prices "	"9,867.08"	"11,635.80"	"12,753.28"	"14,804.67"	"18,268.66"	"19,340.10"	"19,211.15"	"18,524.02"	"19,035.58"	"20,292.02"	"23,403.56"	"29,796.05"
 Bahrain 	 Asia 	 Life expectancy 	50.94	53.83	56.92	59.92	63.3	65.59	69.05	70.75	72.6	73.93	74.8	75.64
 Bahrain 	 Asia 	 Population 	"120,447.00"	"138,655.00"	"171,863.00"	"202,182.00"	"230,800.00"	"297,410.00"	"377,967.00"	"454,612.00"	"529,491.00"	"598,561.00"	"656,397.00"	"708,573.00"
 Bangladesh 	 Asia 	" Gross domestic product per capita, constant prices "	684.24	661.64	686.34	721.19	630.23	659.88	676.98	751.98	837.81	972.77	"1,136.39"	"1,391.25"
 Bangladesh 	 Asia 	 Life expectancy 	37.48	39.35	41.22	43.45	45.25	46.92	50.01	52.82	56.02	59.41	62.01	64.06
 Bangladesh 	 Asia 	 Population 	"46,886,859.00"	"51,365,468.00"	"56,839,289.00"	"62,821,884.00"	"70,759,295.00"	"80,428,306.00"	"93,074,406.00"	"103,764,241.00"	"113,704,579.00"	"123,315,288.00"	"135,656,790.00"	"150,448,339.00"
 Belgium 	 Europe 	" Gross domestic product per capita, constant prices "	"8,343.11"	"9,714.96"	"10,991.21"	"13,149.04"	"16,672.14"	"19,117.97"	"20,979.85"	"22,525.56"	"25,575.57"	"27,561.20"	"30,485.88"	"33,692.61"
 Belgium 	 Europe 	 Life expectancy 	68	69.24	70.25	70.94	71.44	72.8	73.93	75.35	76.46	77.53	78.32	79.44
 Belgium 	 Europe 	 Population 	"8,730,405.00"	"8,989,111.00"	"9,218,400.00"	"9,556,500.00"	"9,709,100.00"	"9,821,800.00"	"9,856,303.00"	"9,870,200.00"	"10,045,622.00"	"10,199,787.00"	"10,311,970.00"	"10,392,226.00"
 Benin 	 Africa 	" Gross domestic product per capita, constant prices "	"1,062.75"	959.6	949.5	"1,035.83"	"1,085.80"	"1,029.16"	"1,277.90"	"1,225.86"	"1,191.21"	"1,232.98"	"1,372.88"	"1,441.28"
 Benin 	 Africa 	 Life expectancy 	38.22	40.36	42.62	44.89	47.01	49.19	50.9	52.34	53.92	54.78	54.41	56.73
 Benin 	 Africa 	 Population 	"1,738,315.00"	"1,925,173.00"	"2,151,895.00"	"2,427,334.00"	"2,761,407.00"	"3,168,267.00"	"3,641,603.00"	"4,243,788.00"	"4,981,671.00"	"6,066,080.00"	"7,026,113.00"	"8,078,314.00"
 Bolivia 	 Americas 	" Gross domestic product per capita, constant prices "	"2,677.33"	"2,127.69"	"2,180.97"	"2,586.89"	"2,980.33"	"3,548.10"	"3,156.51"	"2,753.69"	"2,961.70"	"3,326.14"	"3,413.26"	"3,822.14"
 Bolivia 	 Americas 	 Life expectancy 	40.41	41.89	43.43	45.03	46.71	50.02	53.86	57.25	59.96	62.05	63.88	65.55
 Bolivia 	 Americas 	 Population 	"2,883,315.00"	"3,211,738.00"	"3,593,918.00"	"4,040,665.00"	"4,565,872.00"	"5,079,716.00"	"5,642,224.00"	"6,156,369.00"	"6,893,451.00"	"7,693,188.00"	"8,445,134.00"	"9,119,152.00"
 Bosnia and Herzegovina 	 Europe 	" Gross domestic product per capita, constant prices "	973.53	"1,353.99"	"1,709.68"	"2,172.35"	"2,860.17"	"3,528.48"	"4,126.61"	"4,314.11"	"2,546.78"	"4,766.36"	"6,018.98"	"7,446.30"
 Bosnia and Herzegovina 	 Europe 	 Life expectancy 	53.82	58.45	61.93	64.79	67.45	69.86	70.69	71.14	72.18	73.24	74.09	74.85
 Bosnia and Herzegovina 	 Europe 	 Population 	"2,791,000.00"	"3,076,000.00"	"3,349,000.00"	"3,585,000.00"	"3,819,000.00"	"4,086,000.00"	"4,172,693.00"	"4,338,977.00"	"4,256,013.00"	"3,607,000.00"	"4,165,416.00"	"4,552,198.00"
 Botswana 	 Africa 	" Gross domestic product per capita, constant prices "	851.24	918.23	983.65	"1,214.71"	"2,263.61"	"3,214.86"	"4,551.14"	"6,205.88"	"7,954.11"	"8,647.14"	"11,003.61"	"12,569.85"
 Botswana 	 Africa 	 Life expectancy 	47.62	49.62	51.52	53.3	56.02	59.32	61.48	63.62	62.75	52.56	46.63	50.73
 Botswana 	 Africa 	 Population 	"442,308.00"	"474,639.00"	"512,764.00"	"553,541.00"	"619,351.00"	"781,472.00"	"970,347.00"	"1,151,184.00"	"1,342,614.00"	"1,536,536.00"	"1,630,347.00"	"1,639,131.00"
 Brazil 	 Americas 	" Gross domestic product per capita, constant prices "	"2,108.94"	"2,487.37"	"3,336.59"	"3,429.86"	"4,985.71"	"6,660.12"	"7,030.84"	"7,807.10"	"6,950.28"	"7,957.98"	"8,131.21"	"9,065.80"
 Brazil 	 Americas 	 Life expectancy 	50.92	53.29	55.67	57.63	59.5	61.49	63.34	65.21	67.06	69.39	71.01	72.39
 Brazil 	 Americas 	 Population 	"56,602,560.00"	"65,551,171.00"	"76,039,390.00"	"88,049,823.00"	"100,840,058.00"	"114,313,951.00"	"128,962,939.00"	"142,938,076.00"	"155,975,974.00"	"168,546,719.00"	"179,914,212.00"	"190,010,647.00"
 Bulgaria 	 Europe 	" Gross domestic product per capita, constant prices "	"2,444.29"	"3,008.67"	"4,254.34"	"5,577.00"	"6,597.49"	"7,612.24"	"8,224.19"	"8,239.85"	"6,302.62"	"5,970.39"	"7,696.78"	"10,680.79"
 Bulgaria 	 Europe 	 Life expectancy 	59.6	66.61	69.51	70.42	70.9	70.81	71.08	71.34	71.19	70.32	72.14	73.01
 Bulgaria 	 Europe 	 Population 	"7,274,900.00"	"7,651,254.00"	"8,012,946.00"	"8,310,226.00"	"8,576,200.00"	"8,797,022.00"	"8,892,098.00"	"8,971,958.00"	"8,658,506.00"	"8,066,057.00"	"7,661,799.00"	"7,322,858.00"
 Burkina Faso 	 Africa 	" Gross domestic product per capita, constant prices "	543.26	617.18	722.51	794.83	854.74	743.39	807.2	912.06	931.75	946.29	"1,037.65"	"1,217.03"
