country,continent,subject,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,nmiss
 Afghanistan ,Asia," Gross domestic product per capita, constant prices ",,820.84998,853.09998,836.20001,739.97998,786.10999,978.01001,852.40002,649.34003,635.34003,726.72998,974.58002,1
 Afghanistan ,Asia, Life expectancy ,28.799999,30.33,32,34.02,36.09,38.439999,39.849998,40.82,41.669998,41.759998,42.130001,43.830002,0
 Afghanistan ,Asia, Population ,8425333,9240934,10267083,11537966,13079460,14880372,12881816,13867957,16317921,22227416,25268404,31889924,0
 Albania ,Europe," Gross domestic product per capita, constant prices ",,1942.28,2312.8899,2760.2,3313.4199,3533,3630.8799,3738.9299,2497.4399,3193.05,4604.21,5937.0298,1
 Albania ,Europe, Life expectancy ,55.23,59.279999,64.82,66.220001,67.690002,68.93,70.419998,72,71.580002,72.949997,75.650002,76.419998,0
 Albania ,Europe, Population ,1282697,1476505,1728137,1984060,2263554,2509048,2780097,3075321,3326498,3428038,3508512,3600523,0
 Algeria ,Africa," Gross domestic product per capita, constant prices ",2449.01,3013.98,2550.8201,3246.99,4182.6602,4910.4199,5745.1602,5681.3599,5023.2202,4797.2998,5288.04,6223.3701,0
 Algeria ,Africa, Life expectancy ,43.080002,45.689999,48.299999,51.41,54.52,58.009998,61.369999,65.800003,67.739998,69.150002,70.989998,72.300003,0
 Algeria ,Africa, Population ,9279525,10270856,11000948,12760499,14760787,17152804,20033752,23254956,26298372,29072016,31287142,33333216,0
 Angola ,Africa," Gross domestic product per capita, constant prices ",3520.6101,3827.9399,4269.2798,5522.7798,5473.29,3008.6499,2756.95,2430.21,2627.8501,2277.1399,2773.29,4797.23,0
 Angola ,Africa, Life expectancy ,30.02,32,34,35.990002,37.93,39.48,39.939999,39.91,40.650002,40.959999,41,42.73,0
 Angola ,Africa, Population ,4232095,4561361,4826015,5247469,5894858,6162675,7016384,7874230,8735988,9875024,10866106,12420476,0
 Argentina ,Americas," Gross domestic product per capita, constant prices ",5911.3198,6856.8599,7133.1699,8052.9502,9443.04,10079.03,8997.9004,9139.6699,9308.4199,10967.28,8797.6396,12779.38,0
 Argentina ,Americas, Life expectancy ,62.490002,64.400002,65.139999,65.629997,67.07,68.480003,69.940002,70.769997,71.870003,73.279999,74.339996,75.32,0
 Argentina ,Americas, Population ,17876956,19610538,21283784,22934224,24779800,26983828,29341374,31620918,33958948,36203464,38331120,40301928,0
 Australia ,Oceania," Gross domestic product per capita, constant prices ",10039.6,10949.65,12217.23,14526.12,16788.631,18334.199,19477.01,21888.891,23424.77,26997.939,30687.75,34435.371,0
 Australia ,Oceania, Life expectancy ,69.120003,70.330002,70.93,71.099998,71.93,73.489998,74.739998,76.32,77.559998,78.830002,80.370003,81.239998,0
 Australia ,Oceania, Population ,8691212,9712569,10794968,11872264,13177000,14074100,15184200,16257249,17481976,18565244,19546792,20434176,0
 Austria ,Europe," Gross domestic product per capita, constant prices ",6137.0801,8842.5996,10750.72,12834.6,16661.631,19749.42,21597.08,23687.83,27042.02,29095.92,32417.609,36126.488,0
 Austria ,Europe, Life expectancy ,66.800003,67.480003,69.540001,70.139999,70.629997,72.169998,73.18,74.940002,76.040001,77.510002,78.980003,79.830002,0
 Austria ,Europe, Population ,6927772,6965860,7129864,7376998,7544201,7568430,7574613,7578903,7914969,8069876,8148312,8199783,0
