country,continent,subject,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15
 Afghanistan , Asia ," Gross domestic product per capita, constant prices ",,820.85,853.1,836.2,739.98,786.11,978.01,852.4,649.34,635.34,726.73,974.58
 Afghanistan , Asia , Life expectancy ,28.8,30.33,32,34.02,36.09,38.44,39.85,40.82,41.67,41.76,42.13,43.83
 Afghanistan , Asia , Life expectancy ,28.8,30.33,32,34.02,36.09,38.44,39.85,40.82,41.67,41.76,42.13,43.83
 Afghanistan , Asia, Population ,,9240934,10267083,11537966,13079460,14880372,12881816,13867957,16317921,22227415,25268405,31889923
 Albania , Europe ," Gross domestic product per capita, constant prices ",-99,1942.28,2312.89,2760.2,3313.42,3533,3630.88,3738.93,2497.44,3193.05,4604.21,5937.03
 Albania , Europe , Life expectancy ,55.23,59.28,64.81999999999999,66.22,67.69,68.93000000000001,70.42,72,71.58,72.95,75.65000000000001,76.42
 Albania ,  Europe , Population ,,1476505,1728137,1984060,2263554,2509048,2780097,3075321,3326498,3428038,3508512,3600523
 Algeria , Africa ," Gross domestic product per capita, constant prices ",,3013.98,2550.82,3246.99,4182.66,4910.42,5745.16,5681.36,5023.22,4797.3,5288.04,6223.37
 Algeria , Africa , Life expectancy ,43.08,45.69,48.3,51.41,54.52,58.01,61.37,65.8,67.73999999999999,69.15000000000001,70.98999999999999,72.3
 Algeria , Africa , Population ,,10270856,11000948,12760499,14760787,17152804,20033753,23254956,26298373,29072015,31287142,33333216
 Angola ,  Africa ," Gross domestic product per capita, constant prices ",,3827.94,4269.28,5522.78,5473.29,3008.65,2756.95,2430.21,2627.85,2277.14,2773.29,4797.23
 Angola , Africa , Life expectancy ,30.02,32,34,35.99,37.93,39.48,39.94,39.91,40.65,40.96,41,42.73
 Angola , Africa , Population ,,4561361,4826015,5247469,5894858,6162675,7016384,7874230,8735988,9875024,10866106,12420476
 Argentina , Americas ," Gross domestic product per capita, constant prices ",,6856.86,7133.17,8052.95,9443.040000000001,10079.03,8997.9,9139.67,9308.42,10967.28,8797.639999999999,12779.38
 Argentina , Americas , Life expectancy ,62.49,64.40000000000001,65.14,65.63,67.06999999999999,68.48,69.94,70.77,71.87,73.28,74.34,75.31999999999999
 Argentina , Americas , Population ,,19610538,21283783,22934225,24779799,26983828,29341374,31620918,33958947,36203463,38331121,40301927
 Australia , Oceania ," Gross domestic product per capita, constant prices ",,10949.65,12217.23,14526.12,16788.63,18334.2,19477.01,21888.89,23424.77,26997.94,30687.75,34435.37
 Australia , Oceania , Life expectancy ,69.12,70.33,70.93000000000001,71.09999999999999,71.93000000000001,73.48999999999999,74.73999999999999,76.31999999999999,77.56,78.83,80.37,81.23999999999999
 Australia , Oceania , Population ,,9712569,10794968,11872264,13177000,14074100,15184200,16257249,17481977,18565243,19546792,20434176
 Austria , Europe ," Gross domestic product per capita, constant prices ",,8842.6,10750.72,12834.6,16661.63,19749.42,21597.08,23687.83,27042.02,29095.92,32417.61,36126.49
 Austria , Europe , Life expectancy ,66.8,67.48,69.54000000000001,70.14,70.63,72.17,73.18000000000001,74.94,76.04000000000001,77.51000000000001,78.98,79.83
 Austria , Europe , Population ,,6965860,7129864,7376998,7544201,7568430,7574613,7578903,7914969,8069876,8148312,8199783
 Bahrain ,  Asia ," Gross domestic product per capita, constant prices ",,11635.8,12753.28,14804.67,18268.66,19340.1,19211.15,18524.02,19035.58,20292.02,23403.56,29796.05
 Bahrain ,  Asia , Life expectancy ,50.94,53.83,56.92,59.92,63.3,65.59,69.05,70.75,72.59999999999999,73.93000000000001,74.8,75.64
 Bahrain , Asia , Population ,,138655,171863,202182,230800,297410,377967,454612,529491,598561,656397,708573
 Bangladesh ,  Asia ," Gross domestic product per capita, constant prices ",-99,661.64,686.34,721.1900000000001,630.23,659.88,676.98,751.98,837.8099999999999,972.77,1136.39,1391.25
 Bangladesh ,  Asia , Life expectancy ,37.48,39.35,41.22,43.45,45.25,46.92,50.01,52.82,56.02,59.41,62.01,64.06
 Bangladesh , Asia , Population ,,51365468,56839289,62821884,70759295,80428306,93074406,103764241,113704579,123315288,135656790,150448339
 Belgium , Europe ," Gross domestic product per capita, constant prices ",,9714.959999999999,10991.21,13149.04,16672.14,19117.97,20979.85,22525.56,25575.57,27561.2,30485.88,33692.61
 Belgium , Europe , Life expectancy ,68,69.23999999999999,70.25,70.94,71.44,72.8,73.93000000000001,75.34999999999999,76.45999999999999,77.53,78.31999999999999,79.44
 Belgium , Europe , Population ,,8989111,9218400,9556500,9709100,9821800,9856303,9870200,10045622,10199787,10311970,10392226
 Benin ,  Africa  ," Gross domestic product per capita, constant prices ",,959.6,949.5,1035.83,1085.8,1029.16,1277.9,1225.86,1191.21,1232.98,1372.88,1441.28
 Benin , Africa , Life expectancy ,38.22,40.36,42.62,44.89,47.01,49.19,50.9,52.34,53.92,54.78,54.41,56.73
 Benin ,  Africa, Population ,,1925173,2151895,2427334,2761407,3168267,3641603,4243788,4981671,6066080,7026113,8078314
 Bolivia , Americas ," Gross domestic product per capita, constant prices ",,2127.69,2180.97,2586.89,2980.33,3548.1,3156.51,2753.69,2961.7,3326.14,3413.26,3822.14
 Bolivia , Americas , Life expectancy ,40.41,41.89,43.43,45.03,46.71,50.02,53.86,57.25,59.96,62.05,63.88,65.55
 Bolivia , Americas , Population ,,3211738,3593918,4040665,4565872,5079716,5642224,6156369,6893451,7693188,8445134,9119152
 Bosnia and Herzegovina , Europe ," Gross domestic product per capita, constant prices ",973.53,1353.99,1709.68,2172.35,2860.17,3528.48,4126.61,4314.11,2546.78,4766.36,6018.98,7446.3
 Bosnia and Herzegovina , Europe , Life expectancy ,53.82,58.45,61.93,64.79000000000001,67.45,69.86,70.69,71.14,72.18000000000001,73.23999999999999,74.09,74.84999999999999
 Bosnia and Herzegovina , Europe , Population ,,3076000,3349000,3585000,3819000,4086000,4172693,4338977,4256013,3607000,4165416,4552198
 Botswana , Africa ," Gross domestic product per capita, constant prices ",851.24,918.23,983.65,1214.71,2263.61,3214.86,4551.14,6205.88,7954.11,8647.139999999999,11003.61,12569.85
 Botswana , Africa , Life expectancy ,47.62,49.62,51.52,53.3,56.02,59.32,61.48,63.62,62.75,52.56,46.63,50.73
 Botswana , Africa , Population ,,474639,512764,553541,619351,781472,970347,1151184,1342614,1536536,1630347,1639131
