"Income inequality (disposable income)"
"Gini coefficient: 0 = complete equality; 1 = complete inequality, 2020"
"Category","Gini coefficient: 0 = complete equality; 1 = complete inequality"
"Costa Rica",0.496726
"Chile",0.495882187
"Mexico",0.4204694
"Türkiye",0.402874
"United States",0.3773
"Lithuania",0.35657128655161
"United Kingdom",0.355
"Latvia",0.354889791049021
"Israel",0.33982
"Italy",0.330603741389015
"Spain",0.329449390819235
"Korea",0.328
"Portugal",0.326658099242356
"Greece",0.320094200487534
"Switzerland",0.319827662
"Australia",0.319
"New Zealand",0.318
"Estonia",0.305417287344327
"Germany",0.30256
"Netherlands",0.295
"Luxembourg",0.289733368972028
"Ireland",0.282219706516402
"Hungary",0.280485569237516
"Canada",0.28
"France",0.278
"Sweden",0.276
"Austria",0.271730123396273
"Denmark",0.269199997186661
"Poland",0.265315650887684
"Finland",0.265
"Norway",0.263
"Czechia",0.255275808557917
"Belgium",0.248055779689186
"Slovenia",0.238136293122043
"Slovak Rep.",0.229294424872287
