time,location,time,value
1967-01-01,AUS,1967,1.875
1968-01-01,AUS,1968,1.85
1969-01-01,AUS,1969,1.8
1970-01-01,AUS,1970,1.625
1971-01-01,AUS,1971,1.925
1972-01-01,AUS,1972,2.625
1973-01-01,AUS,1973,2.325
1974-01-01,AUS,1974,2.7
1975-01-01,AUS,1975,4.925
1976-01-01,AUS,1976,4.75
1977-01-01,AUS,1977,5.65
1978-01-01,AUS,1978,6.442533
1979-01-01,AUS,1979,6.265499
1980-01-01,AUS,1980,6.106246
1981-01-01,AUS,1981,5.783571
1982-01-01,AUS,1982,7.156132
1983-01-01,AUS,1983,9.961594
1984-01-01,AUS,1984,8.98968
1985-01-01,AUS,1985,8.262986
1986-01-01,AUS,1986,8.081038
1987-01-01,AUS,1987,8.10804
1988-01-01,AUS,1988,7.227954
1989-01-01,AUS,1989,6.179825
1990-01-01,AUS,1990,6.923
1991-01-01,AUS,1991,9.576522
1992-01-01,AUS,1992,10.72814
1993-01-01,AUS,1993,10.87467
1994-01-01,AUS,1994,9.72219
1995-01-01,AUS,1995,8.472281
1996-01-01,AUS,1996,8.506114
1997-01-01,AUS,1997,8.362488
1998-01-01,AUS,1998,7.677429
1999-01-01,AUS,1999,6.873791
2000-01-01,AUS,2000,6.285546
2001-01-01,AUS,2001,6.742173
2002-01-01,AUS,2002,6.368911
2003-01-01,AUS,2003,5.92842
2004-01-01,AUS,2004,5.396734
2005-01-01,AUS,2005,5.033881
2006-01-01,AUS,2006,4.78524
2007-01-01,AUS,2007,4.379151
2008-01-01,AUS,2008,4.23433
2009-01-01,AUS,2009,5.560385
2010-01-01,AUS,2010,5.21334
2011-01-01,AUS,2011,5.081195
2012-01-01,AUS,2012,5.223376
2013-01-01,AUS,2013,5.66194
2014-01-01,AUS,2014,6.077244
2015-01-01,AUS,2015,6.056423
2016-01-01,AUS,2016,5.710301
2017-01-01,AUS,2017,5.59376
2018-01-01,AUS,2018,5.299855
2019-01-01,AUS,2019,5.159017
2020-01-01,AUS,2020,6.464408
1993-01-01,AUT,1993,3.958333
1994-01-01,AUT,1994,4.241667
1995-01-01,AUT,1995,4.241667
1996-01-01,AUT,1996,4.733333
1997-01-01,AUT,1997,4.733333
1998-01-01,AUT,1998,4.725
1999-01-01,AUT,1999,4.15
2000-01-01,AUT,2000,3.933333
2001-01-01,AUT,2001,3.983333
2002-01-01,AUT,2002,4.383333
2003-01-01,AUT,2003,4.758333
2004-01-01,AUT,2004,5.891667
2005-01-01,AUT,2005,6.033333
2006-01-01,AUT,2006,5.641667
2007-01-01,AUT,2007,5.216667
2008-01-01,AUT,2008,4.441667
2009-01-01,AUT,2009,5.666667
