time,location,value
1967-01-01,AUS,1.875
1968-01-01,AUS,1.85
1969-01-01,AUS,1.8
1970-01-01,AUS,1.625
1971-01-01,AUS,1.925
1972-01-01,AUS,2.625
1973-01-01,AUS,2.325
1974-01-01,AUS,2.7
1975-01-01,AUS,4.925
1976-01-01,AUS,4.75
1977-01-01,AUS,5.65
1978-01-01,AUS,6.442533
1979-01-01,AUS,6.265499
1980-01-01,AUS,6.106246
1981-01-01,AUS,5.783571
1982-01-01,AUS,7.156132
1983-01-01,AUS,9.961594
1984-01-01,AUS,8.98968
1985-01-01,AUS,8.262986
1986-01-01,AUS,8.081038
1987-01-01,AUS,8.10804
1988-01-01,AUS,7.227954
1989-01-01,AUS,6.179825
1990-01-01,AUS,6.923
1991-01-01,AUS,9.576522
1992-01-01,AUS,10.72814
1993-01-01,AUS,10.87467
1994-01-01,AUS,9.72219
1995-01-01,AUS,8.472281
1996-01-01,AUS,8.506114
1997-01-01,AUS,8.362488
1998-01-01,AUS,7.677429
1999-01-01,AUS,6.873791
2000-01-01,AUS,6.285546
2001-01-01,AUS,6.742173
2002-01-01,AUS,6.368911
2003-01-01,AUS,5.92842
2004-01-01,AUS,5.396734
2005-01-01,AUS,5.033881
2006-01-01,AUS,4.78524
2007-01-01,AUS,4.379151
2008-01-01,AUS,4.23433
2009-01-01,AUS,5.560385
2010-01-01,AUS,5.21334
2011-01-01,AUS,5.081195
2012-01-01,AUS,5.223376
2013-01-01,AUS,5.66194
2014-01-01,AUS,6.077244
2015-01-01,AUS,6.056423
2016-01-01,AUS,5.710301
2017-01-01,AUS,5.59376
2018-01-01,AUS,5.299855
2019-01-01,AUS,5.159017
2020-01-01,AUS,6.464408
1993-01-01,AUT,3.958333
1994-01-01,AUT,4.241667
1995-01-01,AUT,4.241667
1996-01-01,AUT,4.733333
1997-01-01,AUT,4.733333
1998-01-01,AUT,4.725
1999-01-01,AUT,4.15
2000-01-01,AUT,3.933333
2001-01-01,AUT,3.983333
2002-01-01,AUT,4.383333
2003-01-01,AUT,4.758333
2004-01-01,AUT,5.891667
2005-01-01,AUT,6.033333
2006-01-01,AUT,5.641667
2007-01-01,AUT,5.216667
2008-01-01,AUT,4.441667
2009-01-01,AUT,5.666667
2010-01-01,AUT,5.191667
2011-01-01,AUT,4.9
2012-01-01,AUT,5.191667
