StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,01,02,03,03a,04,04a,05,05a,05b,06,06a,07,08,09,09_10_TEXT,10,10a,11a,11b,11c,coursename,topic,cohort,version,link,prog,link2
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Satisfaction,Role,Confidence,Email,4. Were there any concepts from today's workshop you found difficult to understand?,Difficulties,5. Do you have any positive feedback you would like to share about today's workshop?,Positive feedback,Permission,Improvements,Suggestion,Trainer Performance,Comments,Marketing - Selected Choice,"Marketing - Other, please describe: - Text",Recommend,Not recommended,online/in-person,Why in-person,why online,coursename,topic,cohort,version,link,prog,link2
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID66""}","{""ImportId"":""QID65_TEXT""}","{""ImportId"":""QID77""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID78""}","{""ImportId"":""QID80_TEXT""}","{""ImportId"":""QID81""}","{""ImportId"":""QID79""}","{""ImportId"":""QID82_TEXT""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID59_10_TEXT""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84_TEXT""}","{""ImportId"":""QID85_TEXT""}","{""ImportId"":""coursename""}","{""ImportId"":""topic""}","{""ImportId"":""cohort""}","{""ImportId"":""version""}","{""ImportId"":""link""}","{""ImportId"":""prog""}","{""ImportId"":""link2""}"
2021-10-16 14:38:57,2021-10-16 14:40:16,IP Address,109.175.167.2,100,78,True,2021-10-16 14:40:16,R_9ZcZd2QyXJMhHBT,,,,,51.5095062255859375,-0.0955047607421875,anonymous,EN-GB,Satisfied,Student,Fairly confident,,No,,No,,,No,,,,LSE Website,,Yes,,online,,,"R Fundamentals 1: Numerical Variables ",R,,21-22,https://apps.lse.ac.uk/training-system/userBooking/course/9483054,DS,
2021-10-18 10:09:20,2021-10-18 10:10:09,IP Address,31.205.218.15,100,48,True,2021-10-18 10:10:10,R_1Nspr7dHOWkVymD,,,,,51.502593994140625,-0.0659942626953125,anonymous,EN-GB,Satisfied,Student,Very confident,,No,,Yes,,,No,,,,"Digital Skills Lab: mailing list, previous session, website",,Yes,,online,,For career purpose,Stata Fundamentals 1: Import and inspecting data ,Stata,,21-22,https://lsecloud-my.sharepoint.com/:u:/g/personal/m_wiemers_lse_ac_uk/EU9fXeq9Mm9Ii363M_Eypf0B231Lx_NEpTkHgMGnr3SGzw?e=gwTLkK,SR,
2021-10-18 10:13:00,2021-10-18 10:15:09,IP Address,5.151.173.137,100,129,True,2021-10-18 10:15:09,R_3CZ2QFVwUqmAVcJ,,,,,51.502593994140625,-0.0659942626953125,anonymous,EN-GB,Satisfied,Student,Fairly confident,,No,,No,,,No,,very good,no,"Digital Skills Lab: mailing list, previous session, website",,Yes,,online,,convenient,Stata Fundamentals 1: Import and inspecting data ,Stata,,21-22,https://lsecloud-my.sharepoint.com/:u:/g/personal/m_wiemers_lse_ac_uk/EU9fXeq9Mm9Ii363M_Eypf0B231Lx_NEpTkHgMGnr3SGzw?e=gwTLkK,SR,
2021-10-19 03:23:58,2021-10-19 03:26:06,IP Address,158.143.8.227,100,128,True,2021-10-19 03:26:07,R_3KrOf9Qm5fswOA6,,,,,51.502593994140625,-0.0659942626953125,anonymous,EN-GB,Very Satisfied,Staff,Very confident,,No,,Yes,Very helpful teachers,Yes,No,,excellent,No,Recommended by a friend/colleague,,Yes,,in-person,This was the only one available,,Excel 1: Calculated Worksheets   ,Excel,,21-22,,Prod,
2021-10-19 03:58:26,2021-10-19 03:59:34,IP Address,158.143.8.219,100,67,True,2021-10-19 03:59:35,R_12F6yqVQZVsw8uF,,,,,51.502593994140625,-0.0659942626953125,anonymous,EN-GB,Very Satisfied,Student,Very confident,,No,,Yes,Very helpful,Yes,No,,Amazing,,Recommended by a friend/colleague,,Yes,,in-person,I prefer in person sessions,,Excel 1: Calculated Worksheets   ,Excel,,21-22,,Prod,
2021-10-19 03:58:45,2021-10-19 04:00:38,IP Address,158.143.8.191,100,113,True,2021-10-19 04:00:38,R_3PtMaMFzkdZUGoS,,,,,51.502593994140625,-0.0659942626953125,anonymous,EN-GB,Very Satisfied,Student,Fairly confident,,No,,Yes,The people running it were very friendly and helpful.,Yes,No,,"Really helpful and patient. ",,Recommended by a friend/colleague,,Yes,,in-person,easier to ask questions and I much prefer doing things in person,,Excel 1: Calculated Worksheets   ,Excel,,21-22,,Prod,
2021-10-19 03:59:33,2021-10-19 04:01:23,IP Address,158.143.8.228,100,109,True,2021-10-19 04:01:25,R_116L0JMV1kP5jPs,,,,,51.502593994140625,-0.0659942626953125,anonymous,EN-GB,Very Satisfied,Student,Fairly confident,,No,,Yes,,,No,,very helpful and polite,no,"Digital Skills Lab: mailing list, previous session, website",,Yes,,in-person,to learn about excel,,Excel 1: Calculated Worksheets   ,Excel,,21-22,,Prod,
2021-10-19 04:38:22,2021-10-19 04:41:21,IP Address,158.143.8.191,100,178,True,2021-10-19 04:41:21,R_3HjZhWxc37Wwjfn,,,,,51.502593994140625,-0.0659942626953125,anonymous,EN-GB,Very Satisfied,Student,Very confident,,No,,No,,,No,,"Very helpful ",N/A,"Other, please describe:",STAND OUTSIDE THE CENTRAL BUILDINGS,Yes,,in-person,In-person workshops make one on one help easier and enables quicker understanding,,Excel 1: Calculated Worksheets   ,Excel,,21-22,,Prod,
2021-10-19 04:57:38,2021-10-19 04:59:10,IP Address,158.143.8.237,100,92,True,2021-10-19 04:59:11,R_wXzwZVysxMioFhf,,,,,51.502593994140625,-0.0659942626953125,anonymous,EN-GB,Very Satisfied,Student,Very confident,,No,,Yes,Very well explained,No,No,,Helpful,N/A,"Digital Skills Lab: mailing list, previous session, website",,Yes,,in-person,I think in-person can be more interactive,,Excel 1: Calculated Worksheets   ,Excel,,21-22,,Prod,
2021-10-19 04:48:40,2021-10-19 05:03:05,IP Address,82.1.184.42,100,865,True,2021-10-19 05:03:05,R_1pWs6B8PwCGh3vn,,,,,51.499298095703125,-0.1222991943359375,anonymous,EN-GB,Very Satisfied,Student,Very confident,,No,,Yes,"The facilitator Michael Wiemers was very good and provided interesting insights. His explanations were really clear and easy to understand. ",Yes,No,,,,"Digital Skills Lab: mailing list, previous session, website",,Yes,,online,,I didn't see an in-person workshop running for this topic.,"Python Fundamentals 3: Converting ",Python,,21-22,https://lsecloud-my.sharepoint.com/:u:/g/personal/m_wiemers_lse_ac_uk/EU7PJgdx3GlOoFT0MPWkbO0BYs69mNAe0oGvaDaDtqrgUA?e=wFFXkO,DS,
2021-10-19 07:24:10,2021-10-19 07:25:51,IP Address,84.71.151.216,100,100,True,2021-10-19 07:25:51,R_12ifOX7DP2IQ6Ts,,,,,51.503204345703125,-0.2039947509765625,anonymous,EN-GB,Very Satisfied,Student,Fairly confident,,No,,No,,,No,,"He was very helpful ",no,"Digital Skills Lab: mailing list, previous session, website",,Yes,,online,,"it was the one that had the most suitable dates ",R,,,,,,
2021-10-19 10:01:12,2021-10-19 10:02:14,IP Address,31.205.218.15,100,62,True,2021-10-19 10:02:16,R_3nUv94pAOPS7xsY,,,,,51.502593994140625,-0.0659942626953125,anonymous,EN-GB,Very Satisfied,Student,Fairly confident,,No,,No,,,No,,,,"Digital Skills Lab: mailing list, previous session, website",,Yes,,online,,No in-person workshop available,Stata Fundamentals 2: Do-files and computing variables ,Stata,,21-22,https://lsecloud-my.sharepoint.com/:u:/g/personal/m_wiemers_lse_ac_uk/EY3Wk-U6f9dFiHK_ejHvwO4B_SfwFl7tCZaNFmcyRUXmDA?e=csF7gp,SR,
2021-10-20 03:57:06,2021-10-20 03:58:05,IP Address,158.143.8.154,100,59,True,2021-10-20 03:58:07,R_1oAdfzTULltDPay,,,,,51.502593994140625,-0.0659942626953125,anonymous,EN-GB,Very Satisfied,Student,Fairly confident,,No,,No,,,No,,Good!,,"Other, please describe:",Recommended by Professor,Yes,,in-person,,,Excel 2: Numeric Calculations   ,Excel,,21-22,,Prod,
2021-10-20 03:57:08,2021-10-20 03:58:19,IP Address,158.143.8.228,100,70,True,2021-10-20 03:58:19,R_11aLltauCN2bHcA,,,,,51.502593994140625,-0.0659942626953125,anonymous,EN-GB,Very Satisfied,Student,Fairly confident,,No,,Yes,"So helpful, thank you!",Yes,No,,Really great!!,N/A,"Digital Skills Lab: mailing list, previous session, website",,Yes,,in-person,Easier help and feedbakc,,Excel 2: Numeric Calculations   ,Excel,,21-22,,Prod,
2021-10-20 03:56:59,2021-10-20 03:58:20,IP Address,158.143.8.237,100,81,True,2021-10-20 03:58:21,R_2E6MyYq7QODDm8N,,,,,51.502593994140625,-0.0659942626953125,anonymous,EN-GB,Very Satisfied,Student,Very confident,,No,,Yes,It was a helpful session.,No,No,,Knowledgeable and helpful.,N/A,"Digital Skills Lab: mailing list, previous session, website",,Yes,,in-person,Because I think it is more interactive.,,Excel 2: Numeric Calculations   ,Excel,,21-22,,Prod,
2021-10-20 03:57:04,2021-10-20 03:59:02,IP Address,158.143.8.191,100,117,True,2021-10-20 03:59:02,R_2pVosqHa3HFs0EV,,,,,51.502593994140625,-0.0659942626953125,anonymous,EN-GB,Very Satisfied,Student,Very confident,,No,,Yes,Very helpful staff!,Yes,Yes,Longer workshops to cover more material,Excellent,,"Digital Skills Lab: mailing list, previous session, website",,Yes,,in-person,Easier to communicate and solve questions,,Excel 2: Numeric Calculations   ,Excel,,21-22,,Prod,
2021-10-20 03:57:36,2021-10-20 03:59:42,IP Address,158.143.8.218,100,125,True,2021-10-20 03:59:42,R_SZdnwQlkDvrPXzj,,,,,51.502593994140625,-0.0659942626953125,anonymous,EN-GB,Very Satisfied,Student,Very confident,,No,,Yes,"I really like to practice by my self, ask questions and then see the solution.",Yes,No,,"Kash ",na,"Digital Skills Lab: mailing list, previous session, website",,Yes,,in-person,"I feel I can understand better in person ",,Excel 2: Numeric Calculations   ,Excel,,21-22,,Prod,
2021-10-20 03:57:00,2021-10-20 04:00:39,IP Address,158.143.8.227,100,219,True,2021-10-20 04:00:39,R_2b1wwdu76Ow5wy8,,,,,51.502593994140625,-0.0659942626953125,anonymous,EN-GB,Very Satisfied,Student,Very confident,,No,,No,,,No,,very helpful,no,"Digital Skills Lab: mailing list, previous session, website",,Yes,,in-person,"i found it more helpful in person, to ask question + guidance ",,Excel 2: Numeric Calculations   ,Excel,,21-22,,Prod,
2021-10-20 04:02:10,2021-10-20 04:04:30,IP Address,158.143.8.245,100,139,True,2021-10-20 04:04:30,R_1JJXg1JnwbhdZAO,,,,,51.502593994140625,-0.0659942626953125,anonymous,EN-GB,Very Satisfied,Student,Very confident,,No,,Yes,VERY HELPFUL AND VERY SUPPORTIVE,Yes,No,,Very extensive and clear,no everything was great,"Digital Skills Lab: mailing list, previous session, website",,Yes,,in-person,in person,,Excel 2: Numeric Calculations   ,Excel,,21-22,,Prod,
2021-10-20 08:02:11,2021-10-20 08:05:25,IP Address,158.143.202.94,100,194,True,2021-10-20 08:05:25,R_3KDeOcMz4ccnKti,,,,,51.5074005126953125,-0.119598388671875,anonymous,EN-GB,Very Satisfied,Student,Fairly confident,,No,,No,,,No,,"Really good session, Kashvi was very helpful and accomodating, and great at explaining the functions of the software. ",,"Digital Skills Lab: mailing list, previous session, website",,Yes,,online,,"I had a class right before the session and so would not have been able to reach on time. I prefer offline sessions otherwise. ",Stata Fundamentals 1: Import and inspecting data ,Stata,,21-22,https://lsecloud-my.sharepoint.com/:u:/g/personal/m_wiemers_lse_ac_uk/EU9fXeq9Mm9Ii363M_Eypf0B231Lx_NEpTkHgMGnr3SGzw?e=gwTLkK,SR,
