Country Name,Country Code,Region,renergy,gdp,co2
Aruba,ABW,Latin America & Caribbean,6.726747566,2962905028,
Africa Eastern and Southern,AFE,,63.56519968,8.931E+11,0.987393167
Afghanistan,AFG,South Asia,18.42347717,19907111419,0.232175631
Africa Western and Central,AFW,,79.55907185,7.57492E+11,0.480743071
Angola,AGO,Sub-Saharan Africa,49.56821033,1.16194E+11,1.260920989
Albania,ALB,Europe & Central Asia,38.61521047,11386846319,1.759987059
Andorra,AND,Europe & Central Asia,19.74780863,2789870188,6.026181837
Arab World,ARB,,4.094036566,2.51321E+12,4.617963545
United Arab Emirates,ARE,Middle East & North Africa,0.137108046,3.58135E+11,20.94809226
Argentina,ARG,Latin America & Caribbean,10.04007761,5.94749E+11,4.314433522
Armenia,ARM,Europe & Central Asia,15.79200384,10553337673,1.825292192
American Samoa,ASM,East Asia & Pacific,0.885478202,673000000,
Antigua and Barbuda,ATG,Latin America & Caribbean,0,1336692593,5.236665206
Australia,AUS,East Asia & Pacific,9.18050296,1.35169E+12,15.7864494
Austria,AUT,Europe & Central Asia,34.39499175,3.81818E+11,7.306745266
Azerbaijan,AZE,Europe & Central Asia,2.310757686,53074370486,3.333906429
Burundi,BDI,Sub-Saharan Africa,95.67892425,3104394792,0.040354196
Belgium,BEL,Europe & Central Asia,9.201640531,4.6215E+11,8.444061111
Benin,BEN,Sub-Saharan Africa,50.86261794,11388160997,0.566378737
Burkina Faso,BFA,Sub-Saharan Africa,74.16718786,11832159276,0.187735194
Bangladesh,BGD,South Asia,34.74706901,1.95079E+11,0.458797539
Bulgaria,BGR,Europe & Central Asia,17.65007793,50647442757,6.225976043
Bahrain,BHR,Middle East & North Africa,0,31050638298,22.30559688
"Bahamas, The",BHS,Latin America & Caribbean,1.210512884,11710800000,6.333511491
Bosnia and Herzegovina,BIH,Europe & Central Asia,40.75006023,16211541820,5.718264797
Belarus,BLR,Europe & Central Asia,6.770869532,56454734397,5.784217191
Belize,BLZ,Latin America & Caribbean,35.0236296,1721700991,1.828629691
Bermuda,BMU,North America,2.359588007,6654541000,
Bolivia,BOL,Latin America & Caribbean,17.53818183,33000198249,1.877691189
Brazil,BRA,Latin America & Caribbean,43.7903892,1.80221E+12,2.347365731
Barbados,BRB,Latin America & Caribbean,2.786358206,4715000000,4.52112839
Brunei Darussalam,BRN,East Asia & Pacific,0.014935036,12930394938,14.41262527
Bhutan,BTN,South Asia,86.90454832,2003598213,1.31888966
Botswana,BWA,Sub-Saharan Africa,28.87982699,14420593484,3.399795164
Central African Republic,CAF,Sub-Saharan Africa,76.56702001,1695825714,0.06899359
Canada,CAN,North America,22.02535921,1.55651E+12,15.65138616
Central Europe and the Baltics,CEB,,17.12189336,1.29209E+12,6.249982689
Switzerland,CHE,Europe & Central Asia,25.29198368,7.0215E+11,4.712404478
Channel Islands,CHI,Europe & Central Asia,,,
Chile,CHL,Latin America & Caribbean,24.88255427,2.43919E+11,4.561654853
China,CHN,East Asia & Pacific,12.41335257,1.10616E+13,7.169112177
Cote d'Ivoire,CIV,Sub-Saharan Africa,64.52802565,45814637971,0.411605058
Cameroon,CMR,Sub-Saharan Africa,76.53840041,30928653814,0.343800787
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,95.81769971,37917704900,0.037904358
"Congo, Rep.",COG,Sub-Saharan Africa,62.40211902,11885478502,0.70838841
Colombia,COL,Latin America & Caribbean,23.56475752,2.93482E+11,1.705152834
Comoros,COM,Sub-Saharan Africa,45.33305239,966029599.8,0.23153061
Cabo Verde,CPV,Sub-Saharan Africa,26.5797159,1596800287,0.952852841
Costa Rica,CRI,Latin America & Caribbean,38.73341388,56441917653,1.555343088
Caribbean small states,CSS,,8.825976767,73063500001,5.462326768
Cuba,CUB,Latin America & Caribbean,19.28132064,87133000000,2.427420867
Curacao,CUW,Latin America & Caribbean,0.347766268,3151910782,
Cayman Islands,CYM,Latin America & Caribbean,0,4708336733,
Cyprus,CYP,Europe & Central Asia,9.942066016,19842404305,5.839858672
Czech Republic,CZE,Europe & Central Asia,14.82856195,1.88033E+11,9.575140818
Germany,DEU,Europe & Central Asia,14.2062527,3.35624E+12,9.087290939
Djibouti,DJI,Middle East & North Africa,15.38059522,2430287967,0.590810921
Dominica,DMA,Latin America & Caribbean,7.82979664,540737037,2.528977871
Denmark,DNK,Europe & Central Asia,33.17027717,3.02673E+11,5.911867775
Dominican Republic,DOM,Latin America & Caribbean,16.48010921,71164825257,2.280756783
Algeria,DZA,Middle East & North Africa,0.058958684,1.65979E+11,3.674232947
East Asia & Pacific (excluding high income),EAP,,15.86123639,1.3287E+13,5.509108565
Early-demographic dividend,EAR,,25.55484489,1.03067E+13,2.194776637
East Asia & Pacific,EAS,,13.85760268,2.19044E+13,6.19247158
Europe & Central Asia (excluding high income),ECA,,6.478533004,3.0948E+12,6.846907848
Europe & Central Asia,ECS,,13.07308474,2.04761E+13,6.694111202
Ecuador,ECU,Latin America & Caribbean,13.81668594,99290381000,2.511716305
"Egypt, Arab Rep.",EGY,Middle East & North Africa,5.709377265,3.29367E+11,2.444220788
Euro area,EMU,,16.0832622,1.16672E+13,6.646295189
Eritrea,ERI,Sub-Saharan Africa,79.7674723,,0.194446721
Spain,ESP,Europe & Central Asia,16.25409774,1.19512E+12,5.517944386
Estonia,EST,Europe & Central Asia,27.47683347,23048864243,11.68459648
Ethiopia,ETH,Sub-Saharan Africa,92.16346114,64589334979,0.127732852
European Union,EUU,,17.58845103,1.35438E+13,6.516388833
Fragile and conflict affected situations,FCS,,64.09949123,1.80011E+12,0.88060785
Finland,FIN,Europe & Central Asia,43.23526259,2.3444E+11,7.814537412
