Hour (Coded),Immobilized bus,Broken Truck,Vehicle excess,Accident victim,Running over,Fire vehicles,Occurrence involving freight,Incident involving dangerous freight,Lack of electricity,Fire,Point of flooding,Manifestations,Defect in the network of trolleybuses,Tree on the road,Semaphore off,Intermittent Semaphore,Slowness in traffic (%),Hour,Day
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,7:00,MONDAY
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,7:30,MONDAY
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,8:00,MONDAY
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,8:30,MONDAY
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,9:00,MONDAY
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,9:30,MONDAY
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,10:00,MONDAY
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,10:30,MONDAY
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,11:00,MONDAY
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,11:30,MONDAY
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,12:00,MONDAY
12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,12:30,MONDAY
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,13:00,MONDAY
14,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.9,13:30,MONDAY
15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,14:00,MONDAY
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,14:30,MONDAY
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,15:00,MONDAY
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,15:30,MONDAY
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,16:00,MONDAY
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,16:30,MONDAY
21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,17:00,MONDAY
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,17:30,MONDAY
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,18:00,MONDAY
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,18:30,MONDAY
25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.8,19:00,MONDAY
26,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11.4,19:30,MONDAY
27,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.4,20:00,MONDAY
1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.9,7:00,TUESDAY
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,7:30,TUESDAY
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,8:00,TUESDAY
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,8:30,TUESDAY
5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.3,9:00,TUESDAY
6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,9:30,TUESDAY
7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.9,10:00,TUESDAY
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,10:30,TUESDAY
9,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,8.3,11:00,TUESDAY
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,11:30,TUESDAY
11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,12:00,TUESDAY
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,12:30,TUESDAY
13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.7,13:00,TUESDAY
14,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.8,13:30,TUESDAY
15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.1,14:00,TUESDAY
16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,14:30,TUESDAY
17,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8.3,15:00,TUESDAY
18,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.4,15:30,TUESDAY
19,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9.3,16:00,TUESDAY
20,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11.0,16:30,TUESDAY
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1,17:00,TUESDAY
22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,17:30,TUESDAY
23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,18:00,TUESDAY
24,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15.3,18:30,TUESDAY
25,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,16.8,19:00,TUESDAY
26,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.6,19:30,TUESDAY
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,20:00,TUESDAY
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,7:00,WEDNESDAY
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,7:30,WEDNESDAY
