"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 5: Complex Calculations,Productivity tools,9532468,06/12/2021 17:00,06/12/2021 18:00,LRB.R08,"[Jack Downes, Eshwar Seshagiri, Nedelin Velikov]",4
"[Using IT, Research, Career Development]","Data Visualisation in Python 2: Scatter, Bar Plots and Histograms with Matplotlib",Data science tools and coding,9528529,17/11/2021 16:00,17/11/2021 17:00,LRB.R08,[Arina Ghanizadegan],3
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 1: Calculated Worksheets (online),Productivity tools,9624347,11/03/2022 14:00,11/03/2022 15:00,MS TEAMS,"[Shurjo Rana, Eshwar Seshagiri]",7
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 4a: Lookup Functions,Productivity tools,9679175,06/05/2022 12:00,06/05/2022 13:00,LBR.R.08,"[Eshwar Seshagiri, Jing Soh]",0
"[Problem solving, Using IT, Career Development, Application of information skills]",VBA 2: Worksheet Manipulation,Productivity tools,9527104,24/11/2021 17:00,24/11/2021 18:00,MS TEAMS,"[Min Qi Boo, Kashvi Gandhi]",0
"[Problem solving, Using IT, Career Development, Application of information skills]",VBA 2: Worksheet Manipulation (online),Productivity tools,9624290,10/03/2022 15:00,10/03/2022 16:00,MS TEAMS,"[Kara Jessup, Bethanie Lim]",6
"[Using IT, Research, Career Development]","Data Visualisation in Python 2: Scatter, Bar Plots and Histograms with Matplotlib (online)",Data science tools and coding,9536023,22/11/2021 15:00,22/11/2021 16:00,https://lse.zoom.us/j/86297946515,[Sara Luxmoore],2
"[Using IT, Research, Career Development]",Python Fundamentals 1: Numerical Variables,Data science tools and coding,9604488,01/02/2022 16:00,01/02/2022 17:00,LBR.R.08,[Kashvi Gandhi],4
"[Using IT, Research, Career Development]","R Fundamentals 2: Vectors, Functions, and Indexing (online)",Data science tools and coding,9698698,09/06/2022 11:00,09/06/2022 12:00,https://lse.zoom.us/j/88220890052,[Nicolas Eduardo Santos Villagran],0
"[Specific skills, Using IT, Research, Career Development]",R Fundamentals 6: Conditionals and Logic,Data science tools and coding,9528484,17/11/2021 12:00,17/11/2021 13:00,LRB.R08,[Mario Marset Marset Ehrle],1
"[Specific skills, Using IT, Research, Career Development]",R Fundamentals 6: Conditionals and Logic (online),Data science tools and coding,9536273,25/11/2021 16:00,25/11/2021 17:00,https://lse.zoom.us/j/84756346489,[Arina Ghanizadegan],1
"[Using IT, Research, Career Development]",Python Fundamentals 4: Lists (online),Data science tools and coding,9698719,13/06/2022 11:00,13/06/2022 12:00,https://lse.zoom.us/j/88194795658,[Adam Gray],2
"[Using IT, Research, Career Development]",Python Fundamentals 8: Conditionals (online),Data science tools and coding,9528378,16/11/2021 17:00,16/11/2021 18:00,https://lse.zoom.us/j/89641912188,[Sara Luxmoore],3
"[Using IT, Research, Career Development]",Python Fundamentals 8: Conditionals (online),Data science tools and coding,9687956,10/06/2022 13:00,10/06/2022 14:00,https://lse.zoom.us/j/87299893305,[Nicolas Eduardo Santos Villagran],0
"[Using IT, Research, Career Development]",Python Fundamentals 2: String Variables,Data science tools and coding,9485856,09/12/2021 14:00,09/12/2021 15:00,LRB.R08,[Ximin Chen],1
"[Using IT, Research, Career Development]",R Fundamentals 1: Numerical Variables (online),Data science tools and coding,9598479,14/02/2022 16:00,14/02/2022 17:00,https://lse.zoom.us/j/84547282868,[Lars Murdock Physant Murdock],4
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 1: Calculated Worksheets (online),Productivity tools,9580113,19/01/2022 14:00,19/01/2022 15:00,MS TEAMS,"[Min Qi Boo, Manuela Capony]",6
"[Using IT, Research, Career Development]",Python Fundamentals 2: String Variables (online),Data science tools and coding,9678763,06/05/2022 12:00,06/05/2022 13:00,https://lse.zoom.us/j/89857574798,[Sara Luxmoore],2
"[Using IT, Research, Career Development]",R Fundamentals 4: Data Frames,Data science tools and coding,9536218,24/11/2021 11:00,24/11/2021 12:00,LRB.R08,[Andrew Moles],1
"[Using IT, Research, Career Development]",R Fundamentals 4: Data Frames (online),Data science tools and coding,9518105,27/10/2021 13:00,27/10/2021 14:00,https://lse.zoom.us/j/87542482216,[Mario Marset Marset Ehrle],3
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 4b: Pivot Tables,Productivity tools,9615825,16/02/2022 10:00,16/02/2022 11:00,LBR.R.08,"[Isolde Hegemann, Eshwar Seshagiri]",4
"[Specific skills, Using IT, Research, Career Development]","R Fundamentals 3: Strings, Factors, and Type Conversion (online)",Data science tools and coding,9579772,24/01/2022 16:00,24/01/2022 17:00,https://lse.zoom.us/j/87554535646,[Lars Murdock Physant Murdock],8
"[Using IT, Research, Career Development]",Python for Accounting 1,Data science academic support,9540259,29/11/2021 13:00,29/11/2021 15:00,LRB.R08,"[Sara Luxmoore, Michael Wiemers]",16
"[Problem solving, Using IT, Career Development, Application of information skills]",Excel 5: Complex Calculations,Productivity tools,9598995,07/02/2022 17:00,07/02/2022 18:00,LBR.R.08,[Shurjo Rana],2
"[Using IT, Research, Career Development]",Tableau 3: Geographic Data and Relationships (online),Data science tools and coding,9512301,21/10/2021 15:00,21/10/2021 16:00,https://lse.zoom.us/j/89706338818,[Giorgia Cecchinato],2
"[Using IT, Research, Career Development]",Tableau 3: Geographic Data and Relationships (online),Data science tools and coding,9598050,03/02/2022 13:00,03/02/2022 14:00,https://lse.zoom.us/j/89706338818,[Giorgia Cecchinato],2
"[Problem solving, Using IT, Career Development, Application of information skills]",VBA 1: Elements and Variables (online),Productivity tools,9345082,22/11/2021 13:00,22/11/2021 14:00,MS TEAMS,"[Bardia Bijani Aval, Bethanie Lim]",4
"[Using IT, Research, Career Development]",Tableau 2: Filtering and Sorting (online),Data science tools and coding,9678705,04/05/2022 12:00,04/05/2022 13:00,https://lse.zoom.us/j/85869172503,[Giorgia Cecchinato],1
