game,release_date,price,owners,developer,publisher,metascore
Half-Life 2,"Nov 16, 2004",9.99,10000000 ,Valve,Valve,96
Counter-Strike: Source,"Nov 1, 2004",9.99,10000000 ,Valve,Valve,88
Counter-Strike: Condition Zero,"Mar 1, 2004",9.99,10000000 ,Valve,Valve,65
Half-Life 2: Deathmatch,"Nov 1, 2004",4.99,5000000 ,Valve,Valve,-99
Half-Life: Source,"Jun 1, 2004",9.99,2000000 ,Valve,Valve,-99
CS2D,"Dec 24, 2004",NA,1000000 ,Unreal Software,Unreal Software,-99
Unreal Tournament 2004: Editor's Choice Edition,"Mar 16, 2004",14.99,500000 ,"Epic Games, Inc.","Epic Games, Inc.",93
DOOM 3,"Aug 3, 2004",4.99,500000 ,id Software,id Software,87
Beyond Divinity,"Apr 27, 2004",5.99,500000 ,Larian Studios,Larian Studios,73
Hitman: Contracts,"Apr 20, 2004",8.99,500000 ,Io-Interactive A/S,Io-Interactive A/S,-99
Gish,"May 4, 2004",9.99,200000 ,Cryptic Sea,Chronic Logic,80
Neighbours from Hell Compilation,"Feb 20, 2004",9.99,200000 ,JoWooD Vienna,THQ Nordic,69
"STAR WARS Battlefront (Classic, 2004)","Sep 21, 2004",9.99,200000 ,Pandemic Studios,"Lucasfilm, LucasArts, Disney",-99
Jagged Alliance 2 - Wildfire,"Mar 8, 2004",6.99,200000 ,I-deal Games,Topware Interactive,-99
Painkiller: Black Edition,"Apr 12, 2004",9.99,200000 ,People Can Fly,THQ Nordic,-99
Silent Storm Gold Edition,"Sep 9, 2004",9.99,100000 ,Nival,THQ Nordic,83
Soldiers: Heroes of World War II,"Jun 29, 2004",4.99,100000 ,Best Way,1C Entertainment,77
Sherlock Holmes: The Silver Earring,"Sep 30, 2004",9.99,100000 ,Frogwares,Frogwares,68
World War II: Panzer Claws,"Jan 14, 2004",4.99,100000 ,unknown,Topware Interactive,61
Marine Sharpshooter II: Jungle Warfare,"Jun 22, 2004",2.99,100000 ,Jarhead Games,Funbox Media Ltd,52
SuperPower 2 Steam Edition,"Oct 11, 2004",9.99,100000 ,GolemLabs,THQ Nordic,-99
Dark Fall 2: Lights Out,"Aug 24, 2004",4.99,50000 ,Darkling Room,THQ Nordic,66
Aura: Fate of the Ages,"Jun 24, 2004",4.99,50000 ,Streko Graphics,THQ Nordic,63
Guilty Gear X2 #Reload,"Jul 23, 2004",9.99,50000 ,Arc System Works,Arc System Works,-99
Platypus,"Jun 2, 2004",6.99,50000 ,Idigicon,KISS ltd,-99
planetarian ~the reverie of a little planet~,"Nov 29, 2004",9.99,50000 ,VisualArts/Key,Sekai Project,-99
"Codename: Panzers, Phase One","Jun 16, 2004",14.99,20000 ,"Stormregion, THQ Nordic",THQ Nordic,81
Kohan II: Kings of War,"Sep 21, 2004",9.99,20000 ,TimeGate Studios,TimeGate Studios,81
Ground Control II: Operation Exodus,"Jun 18, 2004",4.99,20000 ,Massive Entertainment,Rebellion,80
Perimeter,"May 21, 2004",3.99,20000 ,K-D Lab,1C Entertainment,77
Warlords Battlecry III,"May 17, 2004",9.99,20000 ,Infinite Interactive,"Retroism, Enlight Software Limited",73
Men of Valor,"Nov 29, 2004",9.99,20000 ,2015,THQ Nordic,71
Shadow Ops: Red Mercury,"Sep 17, 2004",6.99,20000 ,Zombie Studios,Retroism,61
Wars and Warriors: Joan of Arc,"Feb 7, 2004",6.99,20000 ,Enlight Software Limited,"Retroism, Enlight Software Limited",60
Konung 2,"Nov 30, 2004",2.99,20000 ,1C Entertainment,1C Entertainment,35
The Egyptian Prophecy: The Fate of Ramses,"Mar 29, 2004",4.99,20000 ,MC2,Microids,-99
Chris Sawyer's Locomotion,"Sep 10, 2004",5.99,20000 ,Chris Sawyer,Atari,-99
Transport Giant,"Jun 8, 2004",9.99,20000 ,"Fancy Bytes, Reactor",Toplitz Productions,-99
URU: Complete Chronicles,"Jul 7, 2004",9.99,20000 ,Cyan Worlds,Cyan Worlds,-99
Mashed,"Jun 25, 2004",4.99,20000 ,Supersonic Software,Strategy First,-99
Kult: Heretic Kingdoms,"Nov 11, 2004",4.99,20000 ,Games Farm,Games Farm,-99
Myst IV: Revelation,"Sep 10, 2004",14.99,0 ,Ubisoft Montreal,"Cyan Worlds, Ubisoft",82
Nemesis of the Roman Empire,"Mar 17, 2004",9.99,0 ,Haemimont Games,"Retroism, Enlight Software Limited",74
Nancy Drew: The Secret of Shadow Ranch,"Jun 1, 2004",9.99,0 ,HeR Interactive,HeR Interactive,68
Lords of the Realm III,"Mar 17, 2004",4.99,0 ,Impressions Games,Rebellion,65
Echelon: Wind Warriors,"Feb 3, 2004",3.99,0 ,MADia Entertainment,Buka Entertainment,63
Zoo Empire,"Aug 1, 2004",6.99,0 ,Enlight Software Limited,"Retroism, Enlight Software Limited",59
Marine Park Empire,"Aug 1, 2004",6.99,0 ,Enlight Software Limited,"Retroism, Enlight Software Limited",58
Fair Strike,"Feb 5, 2004",3.99,0 ,G5 Software,Buka Entertainment,56
KóterGame,"Jan 11, 2004",NA,0 ,Dzsembori,Dzsembori,-99
I Misteri di Maggia,"Sep 27, 2004",NA,0 ,Stelex Software,Stelex Software,-99
Casino Poker,"Apr 2, 2004",2.99,0 ,ThatGame Pty Ltd,Funbox Media Ltd,-99
The Dark Legions,"Apr 1, 2004",1.99,0 ,Mascot Entertainment,Mascot Entertainment,-99
Half-Life 2: Lost Coast,"Oct 27, 2005",NA,10000000 ,Valve,Valve,-99
Grand Theft Auto: San Andreas,"Jun 6, 2005",14.99,2000000 ,Rockstar Games,Rockstar Games,93
STAR WARS Knights of the Old Republic II - The Sith Lords,"Feb 8, 2005",9.99,2000000 ,"Obsidian Entertainment, Aspyr (Mac, Linux, & Windows Update)","LucasArts, Disney Interactive, Lucasfilm, Aspyr (Mac, Linux)",85
Sid Meier's Civilization IV,"Oct 25, 2005",19.99,1000000 ,Firaxis Games,2K,94
Serious Sam 2,"Oct 11, 2005",9.99,1000000 ,Croteam,Devolver Digital,74
Sid Meier's Pirates!,"Jul 11, 2005",9.99,500000 ,Firaxis Games,2K,88
Darwinia,"Jul 14, 2005",9.99,500000 ,Introversion Software,Introversion Software,84
Dungeon Siege II,"Aug 16, 2005",6.99,500000 ,Gas Powered Games,Square Enix,80
scram,"Sep 13, 2005",NA,500000 ,spleen,Colossus Interactive,-99
Street Racing Syndicate,"Jan 8, 2005",2.99,500000 ,Eutechnyx,Funbox Media Ltd,-99
Tom Clancy's Splinter Cell Chaos Theory,"Mar 29, 2005",9.99,200000 ,Ubisoft Montreal,Ubisoft,92
Prince of Persia: The Two Thrones,"Dec 7, 2005",9.99,200000 ,Ubisoft Montreal,Ubisoft,85
FATE,"May 18, 2005",7.99,200000 ,WildTangent,WildTangent,80
The Bard's Tale,"Jun 17, 2005",9.99,200000 ,inXile Entertainment,inXile Entertainment,70
Space Hack,"Nov 15, 2005",4.99,200000 ,unknown,Meridian4,63
Brothers in Arms: Road to Hill 30,"Mar 15, 2005",9.99,100000 ,Gearbox Software,Ubisoft,87
Brothers in Arms: Earned in Blood,"Oct 4, 2005",9.99,100000 ,Gearbox Software,Ubisoft,84
Blitzkrieg 2 Anthology,"Sep 23, 2005",4.99,100000 ,Nival,Nival,75
Cossacks II: Napoleonic Wars,"Apr 26, 2005",4.99,100000 ,GSC Game World,GSC World Publishing,73
Imperial Glory,"May 15, 2005",4.99,100000 ,Pyro Studios,Kalypso Media Digital,69
Telltale Texas Hold ‘Em,"Feb 11, 2005",2.99,100000 ,Telltale Games,Telltale Games,-99
RPG Maker XP,"Sep 16, 2005",24.99,100000 ,KADOKAWA,Degica,-99
CT Special Forces: Fire for Effect,"Mar 24, 2005",2.99,100000 ,"Asobo Studio, Hip Games",Funbox Media Ltd,-99
Myst V: End of Ages,"Jul 19, 2005",9.99,50000 ,Cyan Worlds,Cyan Worlds,80
Crazy Machines,"Oct 1, 2005",9.99,50000 ,Fakt Software,Viva Media,78
Obscure,"Apr 6, 2005",6.99,50000 ,Hydravision Entertainment,Mighty Rocket Studio,63
Bet On Soldier,"Sep 26, 2005",7.99,50000 ,Kylotonn,Microids,-99
Hard Truck Apocalypse / Ex Machina,"Dec 8, 2005",7.99,50000 ,Targem Games,Buka Entertainment,-99
Geneforge 3,"Apr 1, 2005",19.99,50000 ,Spiderweb Software,Spiderweb Software,-99
Voyage: Journey to the Moon,"Aug 16, 2005",4.99,50000 ,Microids,Microids,-99
World War I,"Jun 17, 2005",4.99,50000 ,Dark Fox,1C Entertainment,-99
rFactor,"Aug 31, 2005",24.99,50000 ,Image Space Incorporated,Image Space Incorporated,-99
Sudeki,"Mar 25, 2005",5.99,50000 ,Climax Studios,Climax Group,-99
UFO: Aftershock,"Oct 21, 2005",3.99,50000 ,ALTAR Interactive,1C Entertainment,-99
"Codename: Panzers, Phase Two","Jul 21, 2005",14.99,20000 ,"Stormregion, THQ Nordic",THQ Nordic,80
The Moment of Silence,"Mar 1, 2005",14.99,20000 ,House of Tales,HandyGames,70
Rag Doll Kung Fu,"Oct 12, 2005",9.99,20000 ,Mark Healey,Mark Healey,69
Cold War,"Sep 27, 2005",4.99,20000 ,Mindware Studios,THQ Nordic,64
Stalingrad,"Apr 5, 2005",4.99,20000 ,DTF games,1C Entertainment,-99
Cuban Missile Crisis: Ice Crusade,"Jul 29, 2005",4.99,20000 ,G5 Software,1C Entertainment,-99
Midnight Outlaw: 6 Hours to SunUp,"Jul 2, 2005",9.99,20000 ,"Merscom, Babylon","ValuSoft, Retroism",-99
Cuban Missile Crisis,"May 6, 2005",4.99,20000 ,G5 Software,1C Entertainment,-99
Desert Law,"Apr 29, 2005",2.99,20000 ,Arise,1C Entertainment,-99
Dungeon Lords Steam Edition,"May 1, 2005",14.99,20000 ,Heuristic Park,THQ Nordic,-99
Luxor 2,"Dec 8, 2005",9.99,20000 ,MumboJumbo,MumboJumbo,-99
Crazy Machines 1.5,"Oct 1, 2005",9.99,0 ,Fakt Software,Viva Media,78
18 Wheels of Steel: Convoy,"Sep 1, 2005",9.99,0 ,SCS Software,"Valusoft, Play Hard Games",-99
Fish Tycoon,"Nov 14, 2005",9.99,0 ,Last Day of Work,Last Day of Work,-99
Luxor Amun Rising,"Dec 8, 2005",9.99,0 ,MumboJumbo,MumboJumbo,-99
Wildlife Tycoon: Venture Africa,"Oct 1, 2005",1.99,0 ,Pocketwatch Games,Pocketwatch Games,-99
Deadhunt,"Mar 28, 2005",4.99,0 ,REL Games,REL Games,-99
Mystery Case Files: Huntsville,"Jan 1, 2005",9.99,0 ,Big Fish Games,Big Fish Games,-99
Operation: Matriarchy,"Nov 20, 2005",5.99,0 ,Madia Entertainment,Buka Entertainment,-99
