country,subjectdescriptor,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40
Austria,GDP_PC,21243.72,21179.95,21556.95,22226.94,22298.28,22783.13,23292.03,23651.89,23848.83,24717.13,25620.88,26275.47,26522.86,26379.81,26856.08,27521.22,28147.25,28724.92,29724.76,30747.9,31705.36,32058.63,32416.9,32514.04,33220.31,33688.18,34593.88,35722.49,36166.06,34679.38,35277.97,36166.37,"$36,297.68","$36,225.58","$36,114.77"
Austria,Unemployment rate,1.6,2.2,3.1,3.7,3.8,3.6,3.1,3.8,2.676,2.348,2.723,3.151,3.29,3.958,3.85,3.917,4.333,4.367,4.483,3.933,3.883,4.008,4.392,4.792,5.492,5.65,5.225,4.867,4.15,5.308,4.817,4.567,4.925,5.342,5.633
Austria,Population,7.54,7.556,7.565,7.543,7.544,7.549,7.557,7.567,7.576,7.594,7.645,7.711,7.799,7.883,7.929,7.944,7.953,7.965,7.971,7.983,8.002000000000001,8.021000000000001,8.064,8.1,8.143000000000001,8.201000000000001,8.254,8.282999999999999,8.308,8.335000000000001,8.352,8.375,8.408,8.452,8.508
Belgium,GDP_PC,21885.36,21805.95,21955.25,22016.06,22570.49,22932.37,23347.6,23871.97,24971.73,25702.98,26455.63,26834.86,27150.4,26765.53,27540.86,28114.3,28515.3,29503.67,30030.52,31080.94,32104.82,32324.82,32681.38,32825.33,33820.2,34297.73,34980.46,35780.98,35843.24,34624.78,35206.58,35253.41,"$34,986.68","$34,878.56","$35,117.22"
Belgium,Unemployment rate,8.300000000000001,10,11.5,10.75,10.8,10.117,10.058,9.817,8.824999999999999,7.392,6.55,6.442,7.092,8.625,9.757999999999999,9.692,9.550000000000001,9.225,9.342000000000001,8.442,6.942,6.708,7.617,8.175000000000001,8.324999999999999,8.407999999999999,8.208,7.5,7.092,7.867,8.25,7.217,7.642,8.4,8.492
Belgium,Population,9.855,9.863,9.855,9.858000000000001,9.853,9.858000000000001,9.859,9.865,9.875999999999999,9.928000000000001,9.948,9.987,10.022,10.068,10.101,10.131,10.143,10.17,10.192,10.214,10.239,10.263,10.31,10.356,10.396,10.446,10.511,10.585,10.667,10.753,10.84,11.001,11.095,11.162,11.204
Cyprus,GDP_PC,8316.469999999999,8463.709999999999,8894.940000000001,9246.299999999999,9927.91,10278.01,10521.77,11150.68,11952.79,12732.83,13394.78,13142.26,14003.41,13759.04,14269.65,15530.25,15545.7,15709.42,16323.03,16899.93,17679.57,18104.04,18472.47,18745.89,19297.14,19746.37,20259.8,20744.72,20942.9,19959.1,19737.91,19279.81,"$18,608.89","$17,418.39","$16,843.65"
Cyprus,Unemployment rate,,,2.8,3.3,3.3,3.3,3.7,3.4,2.8,2.3,1.8,3,1.825,2.7,2.7,2.6,3.1,3.4,3.4,3.6,4.825,3.9,3.517,4.125,4.617,5.333,4.517,3.9,3.658,5.408,6.267,7.917,11.875,15.875,16.125
Cyprus,Population,.517,.524,.53,.537,.544,.55,.5570000000000001,.5629999999999999,.569,.577,.589,.605,.621,.636,.65,.656,.666,.675,.6830000000000001,.6909999999999999,.698,.706,.714,.723,.733,.744,.758,.776,.797,.819,.84,.862,0.872,0.881,0.891
Estonia,GDP_PC,,,,,,,,,,,,,,5214.72,5248.36,5468.4,5852.01,6631.79,6968.88,6978.51,7756.31,8278.02,8817.91,9508.16,10143.89,11124.06,12292.49,13267.38,12562.15,10716.61,10982.89,11815.15,"$12,866.29","$13,149.34","$13,194.26"
Estonia,Unemployment rate,,,,,,,,,,,,,,6.526,7.546,9.645,9.881,9.634,9.831,12.201,14.602,13.009,11.227,10.342,10.14,8.031000000000001,5.912,4.592,5.455,13.549,16.707,12.325,10.023,8.628,7.351
Estonia,Population,,,,,,,,,,,,,,1.511,1.477,1.448,1.425,1.406,1.393,1.379,1.372,1.367,1.361,1.356,1.351,1.348,1.345,1.342,1.341,1.34,1.34,1.34,1.294,1.286,1.319
Finland,GDP_PC,19921.86,20105.36,20608.67,21086.74,21602.89,22202.61,22707.52,23443.64,24574.97,25823.32,25366.76,23751.03,22822.02,22537.96,23320.22,24201.8,24998.51,26481.4,27837.24,29005.09,30570.44,31300.21,31741.7,32303.78,33485.63,34305.78,35567.91,37260.69,37362.63,34106.89,34962.64,35702.35,"$35,023.82","$34,469.00","$34,174.61"
Finland,Unemployment rate,5.288,5.743,6.076,6.147,5.928,6.049,6.665,4.9,4.208,3.108,3.167,6.608,11.708,16.342,16.583,15.4,14.567,12.642,11.358,10.217,9.782999999999999,9.125,9.074999999999999,9.007999999999999,8.824999999999999,8.4,7.717,6.867,6.367,8.242000000000001,8.382999999999999,7.775,7.725,8.142,8.683
Finland,Population,4.771,4.788,4.812,4.842,4.87,4.894,4.911,4.926,4.939,4.954,4.974,4.998,5.029,5.055,5.078,5.099,5.117,5.132,5.147,5.16,5.171,5.181,5.195,5.206,5.22,5.237,5.256,5.277,5.3,5.326,5.351,5.375,5.401,5.427,5.451
France,GDP_PC,20967.48,21076.86,21483.76,21628.28,21860.05,22109.19,22525.32,22993.61,23959.75,24867.85,25453.54,25598.74,25885.33,25610.76,26122.26,26580.34,26863.96,27406.68,28292.25,29157.35,30101.18,30478.02,30602.39,30639.66,31283.35,31547.57,32067.22,32614.41,32499.48,31376.5,31840.57,32345.38,"$32,248.20","$32,319.12","$32,241.30"
France,Unemployment rate,6.349,7.438,8.069000000000001,7.383,8.458,8.699999999999999,8.875,9.15,8.842000000000001,8.699999999999999,8.4,8.617000000000001,9.442,10.267,10.667,10.508,10.833,10.892,10.692,10.442,9.175000000000001,8.458,8.275,8.516999999999999,8.867000000000001,8.867000000000001,8.817,8.007999999999999,7.417,9.108000000000001,9.257999999999999,9.141999999999999,9.742,10.267,10.308
France,Population,53.731,54.029,54.335,54.65,54.895,55.157,55.411,55.682,55.966,56.27,56.577,56.841,57.111,57.369,57.565,57.753,57.936,58.116,58.299,58.497,58.858,59.267,59.686,60.102,60.505,60.963,61.4,61.795,62.135,62.466,62.765,63.07,63.376,63.652,63.92
Germany,GDP_PC,20067.06,20051.41,19907.58,20287.83,20945.77,21457.91,21961.51,22280.18,22972.57,23635.32,24517.98,25416.77,25576.9,25213.28,25786.93,26165.43,26327.68,26813.55,27296.58,27757.47,28610.66,29074.13,29044.91,28833.66,29047.34,29324.71,30507.84,31577.21,31915.18,30212.74,31424.22,33170.17,"$33,292.42","$33,326.79","$33,714.67"
Germany,Unemployment rate,3.359,4.831,6.734,8.099,8.058,8.124000000000001,7.834,7.843,7.735,6.79,6.155,5.47,6.592,7.775,8.425000000000001,8.233000000000001,8.907999999999999,9.657999999999999,9.382999999999999,8.558,7.95,7.8,8.6,9.708,10.333,11,10.042,8.574999999999999,7.408,7.675,6.958,5.858,5.367,5.242,5
Germany,Population,77.13200000000001,77.27800000000001,77.223,76.953,76.643,76.453,76.506,76.52,76.986,77.755,79.246,80.27500000000001,80.97499999999999,81.33799999999999,81.539,81.81699999999999,82.012,82.057,82.03700000000001,82.163,82.26000000000001,82.44,82.53700000000001,82.532,82.501,82.438,82.315,82.218,82.002,81.80200000000001,81.752,80.328,80.524,80.767,81.1
Greece,GDP_PC,14410.79,14062.93,13808.54,13586.09,13796.2,14084.06,14103.02,13736.24,14272.46,14741.43,14644.94,14971.85,14926.25,14529.7,14665.92,14834.5,15149.97,15846.26,16392.04,16813.42,17412.57,18011.68,18524.45,19699.55,20602.41,20718.4,21847.47,22556.07,22378.65,21379.04,20227.05,18533.8,"$17,316.31","$16,732.87","$16,969.67"
Greece,Unemployment rate,2.663,3.916,5.594,7.603,7.877,7.555,7.14,7.122,7.423,7.217,6.795,7.425,8.368,9.339,9.298999999999999,9.071,9.804,9.754,11.222,12.096,11.35,10.793,10.354,9.794,10.591,9.997,9.007999999999999,8.397,7.759,9.616,12.713,17.864,24.439,27.466,26.491
Greece,Population,9.643000000000001,9.728,9.795,9.848000000000001,9.893000000000001,9.933999999999999,9.972,10.007,10.044,10.094,10.161,10.247,10.35,10.462,10.572,10.672,10.758,10.745,10.808,10.861,10.904,10.935,10.969,10.999,11.038,11.074,11.112,11.144,11.182,11.191,11.184,11.123,11.123,11.063,10.993
